uf,regiao,ubs,municipios,valid_coords,missing_coords,share_pct,population_2022,area_km2,density_hab_km2,ubs_per_100k_pop,ubs_per_1000_km2,coord_validity_pct,rank_pop_pressure,rank_territory_gap,rank_coord_issue,priority_score
MG,Sudeste,6137,850,5824,313,12.862053066186025,20538718,586513.983,35.01829213848428,29.880151234366235,10.463518650671285,94.8997881701157,18.0,15.0,8.0,15.0
SP,Sudeste,5824,639,5517,307,12.206061114138409,44420459,248219.485,178.95637403324724,13.111075686993688,23.463105646198564,94.72870879120879,2.0,21.0,6.0,9.4
BA,Nordeste,4449,415,4352,97,9.324307331181624,14136417,564760.427,25.030820723563195,31.47190691955394,7.877676599320227,97.81973477185885,20.0,13.0,21.0,17.8
PE,Nordeste,3012,184,2921,91,6.312612650375152,9058931,98067.877,92.3740910593996,33.24895619582487,30.713421072631157,96.97875166002656,22.0,23.0,19.0,21.8
CE,Nordeste,2492,183,2402,90,5.222785765184223,8794957,148894.441,59.068404037998974,28.334419372374416,16.736689316695177,96.3884430176565,16.0,17.0,16.0,16.3
MA,Nordeste,2380,216,2327,53,4.988053820681561,6776699,329651.496,20.55716137262729,35.120343990488585,7.2197457887465495,97.77310924369748,25.0,12.0,20.0,19.4
RJ,Sudeste,2371,88,2161,210,4.969191432284026,16054524,43750.423,366.9570006214568,14.768422906839218,54.193761738029366,91.14297764656263,3.0,27.0,1.0,11.0
PR,Sul,2367,388,2280,87,4.960808148551788,11444380,199298.982,57.42317339082043,20.68264073720027,11.876628652322973,96.32446134347275,5.0,16.0,14.0,10.6
RS,Sul,2340,460,2217,123,4.904220983359182,10882965,281707.156,38.63219221878765,21.501493388979934,8.306498255940648,94.74358974358974,6.0,14.0,7.0,9.0
SC,Sul,2057,295,1976,81,4.311103659303349,7610361,95730.684,79.497614369913,27.0289412026578,21.48736344555942,96.06222654350996,15.0,19.0,12.0,15.8
PA,Norte,1852,140,1823,29,3.881460368026156,8120131,1245870.798,6.51763490486756,22.80751381966621,1.4865104816430572,98.4341252699784,9.0,6.0,24.0,11.0
PB,Nordeste,1788,221,1729,59,3.747327828310349,3974687,56467.242,70.38925329485723,44.98467426491696,31.66437631219885,96.70022371364652,27.0,24.0,18.0,24.2
GO,Centro-Oeste,1611,243,1547,64,3.3763675231588213,7056495,340242.859,20.739582957713154,22.83003105649476,4.7348532302334085,96.02731222842955,10.0,10.0,11.0,10.2
PI,Nordeste,1276,222,1251,25,2.6742675105838956,3271199,251755.481,12.993556235623725,39.007104122983655,5.068410010108181,98.04075235109718,26.0,11.0,23.0,20.2
RN,Nordeste,1135,166,1094,41,2.378756759022509,3302406,52809.602,62.53419595928786,34.36888135498785,21.49230361554325,96.38766519823788,24.0,20.0,15.0,20.8
MT,Centro-Oeste,1063,141,1042,21,2.2278576518422266,3658813,903207.019,4.050912939151993,29.0531382718931,1.1769173374858373,98.02445907808091,17.0,4.0,22.0,13.4
AL,Nordeste,1001,102,967,34,2.0979167539925387,3127683,27830.661,112.38263439017851,32.00452219742218,35.96752516945249,96.6033966033966,21.0,25.0,17.0,21.6
ES,Sudeste,942,76,878,64,1.9742633189420293,3833712,46074.448,83.20690027583186,24.571485808010618,20.445171692561573,93.20594479830149,11.0,18.0,4.0,12.0
AM,Norte,706,59,697,9,1.4796495787399924,3941175,1559255.881,2.5275998942985547,17.91343951994012,0.452780078371242,98.72521246458923,4.0,1.0,26.0,7.4
MS,Centro-Oeste,695,78,662,33,1.4565955484763382,2757013,357142.082,7.719653154735207,25.2084411644051,1.946004223607567,95.25179856115108,12.0,9.0,9.0,10.4
SE,Nordeste,592,74,545,47,1.2407259923712117,2209558,21926.908,100.7692466261089,26.79268885451298,26.99879070957018,92.0608108108108,14.0,22.0,2.0,14.4
TO,Norte,458,136,454,4,0.9598859873412415,1511459,277423.627,5.44819854150346,30.301847420274054,1.650904809199975,99.12663755458514,19.0,7.0,27.0,16.4
RO,Norte,341,52,326,15,0.7146749381732825,1581196,237590.547,6.655130096569036,21.565953872891154,1.4352422868069747,95.60117302052787,7.0,5.0,10.0,6.9
AC,Norte,284,22,280,4,0.5952131449888921,830018,164173.429,5.055738952738814,34.21612543342433,1.7298779816556062,98.59154929577466,23.0,8.0,25.0,18.2
DF,Centro-Oeste,211,2,199,12,0.4422182168755502,2817381,5760.783,489.06216394542196,7.489224922010902,36.62696546632636,94.3127962085308,1.0,26.0,5.0,10.5
RR,Norte,168,15,155,13,0.35209791675399255,636707,223644.53,2.8469598608112614,26.38576299616621,0.7511920814696429,92.26190476190477,13.0,2.0,3.0,7.2
AP,Norte,162,16,156,6,0.33952299115563567,733508,142470.762,5.1484809212994875,22.085648690948155,1.1370754091986959,96.29629629629629,8.0,3.0,13.0,7.2
