uf_sigla,ubs_records,municipalities,valid_coordinate_records,missing_coordinate_records,coordinate_validity_pct,region,population_2022,area_km2,ubs_per_10k_population,ubs_per_1000_km2,share_pct,population_pressure_rank,territorial_dispersion_rank,coordinate_gap_rank,priority_score,priority_class
MG,6137,850,5824,313,94.8997881701157,Sudeste,20539989,586513.983,2.987830227172955,10.463518650671285,12.862053066186025,0.6666666666666666,0.5555555555555556,0.2962962962962963,55.4,Média
SP,5824,639,5517,307,94.72870879120879,Sudeste,44411238,248219.485,1.3113797908538376,23.463105646198564,12.206061114138409,0.07407407407407407,0.7777777777777778,0.2222222222222222,35.0,Baixa
BA,4449,415,4352,97,97.81973477185885,Nordeste,14141626,564760.429,3.146031439383279,7.8776765714228185,9.324307331181624,0.7407407407407407,0.48148148148148145,0.7777777777777778,65.7,Alta
PE,3012,184,2921,91,96.97875166002656,Nordeste,9058155,98067.877,3.325180458934518,30.713421072631157,6.312612650375152,0.8148148148148148,0.8518518518518519,0.7037037037037037,80.6,Alta
CE,2492,183,2402,90,96.3884430176565,Nordeste,8794957,148894.441,2.833441937237442,16.736689316695177,5.222785765184223,0.5925925925925926,0.6296296296296297,0.5925925925925926,60.6,Alta
MA,2380,216,2327,53,97.77310924369748,Nordeste,6775152,329651.496,3.512836317177829,7.2197457887465495,4.988053820681561,0.9259259259259259,0.4444444444444444,0.7407407407407407,72.0,Alta
RJ,2371,88,2161,210,91.14297764656263,Sudeste,16055174,43750.425,1.4767825001460588,54.19375926062432,4.969191432284026,0.1111111111111111,1.0,0.037037037037037035,40.7,Média
PR,2367,388,2280,87,96.32446134347275,Sul,11444380,199298.979,2.0682640737200266,11.87662883109903,4.960808148551788,0.18518518518518517,0.5925925925925926,0.5185185185185185,39.4,Média
RS,2340,460,2217,123,94.74358974358974,Sul,10882965,281707.149,2.1501493388979935,8.306498462344669,4.904220983359182,0.2222222222222222,0.5185185185185185,0.25925925925925924,33.3,Baixa
SC,2057,295,1976,81,96.06222654350996,Sul,7609601,95730.69,2.703164068654848,21.487362098821183,4.311103659303349,0.5555555555555556,0.7037037037037037,0.4444444444444444,58.5,Média
PA,1852,140,1823,29,98.4341252699784,Norte,8120131,1245870.798,2.280751381966621,1.4865104816430572,3.881460368026156,0.3333333333333333,0.2222222222222222,0.8888888888888888,40.6,Média
PB,1788,221,1729,59,96.70022371364652,Nordeste,3974495,56467.242,4.49868473856427,31.66437631219885,3.747327828310349,1.0,0.8888888888888888,0.6666666666666666,89.4,Alta
GO,1611,243,1547,64,96.02731222842955,Centro-Oeste,7056495,340242.859,2.283003105649476,4.7348532302334085,3.3763675231588213,0.37037037037037035,0.37037037037037035,0.4074074074074074,37.8,Média
PI,1276,222,1251,25,98.04075235109718,Nordeste,3271199,251755.481,3.9007104122983653,5.068410010108181,2.6742675105838956,0.9629629629629629,0.4074074074074074,0.8518518518518519,74.6,Alta
RN,1135,166,1094,41,96.38766519823788,Nordeste,3302406,52809.602,3.436888135498785,21.49230361554325,2.378756759022509,0.8888888888888888,0.7407407407407407,0.5555555555555556,77.0,Alta
MT,1063,141,1042,21,98.02445907808091,Centro-Oeste,3658813,903208.361,2.90531382718931,1.176915588805095,2.2278576518422266,0.6296296296296297,0.14814814814814814,0.8148148148148148,49.8,Média
AL,1001,102,967,34,96.6033966033966,Nordeste,3127683,27830.661,3.200452219742218,35.96752516945249,2.0979167539925387,0.7777777777777778,0.9259259259259259,0.6296296296296297,80.0,Alta
ES,942,76,878,64,93.20594479830149,Sudeste,3833712,46074.448,2.4571485808010616,20.445171692561573,1.9742633189420293,0.4074074074074074,0.6666666666666666,0.14814814814814814,44.6,Média
AM,706,59,697,9,98.72521246458923,Norte,3941613,1559255.881,1.7911448942349237,0.452780078371242,1.4796495787399924,0.14814814814814814,0.037037037037037035,0.9629629629629629,27.2,Baixa
MS,695,78,662,33,95.25179856115108,Centro-Oeste,2756700,357142.082,2.521130336997134,1.946004223607567,1.4565955484763382,0.4444444444444444,0.3333333333333333,0.3333333333333333,38.3,Média
SE,592,74,545,47,92.0608108108108,Nordeste,2210004,21938.188,2.6787281832974057,26.984908689815224,1.2407259923712117,0.5185185185185185,0.8148148148148148,0.07407407407407407,53.3,Média
TO,458,136,454,4,99.12663755458514,Norte,1511459,277423.627,3.0301847420274055,1.650904809199975,0.9598859873412415,0.7037037037037037,0.25925925925925924,1.0,60.7,Alta
RO,341,52,326,15,95.60117302052787,Norte,1581196,237754.172,2.1565953872891153,1.4342545374976639,0.7146749381732825,0.25925925925925924,0.18518518518518517,0.37037037037037035,25.6,Baixa
AC,284,22,280,4,98.59154929577466,Norte,830018,164173.429,3.4216125433424334,1.7298779816556062,0.5952131449888921,0.8518518518518519,0.2962962962962963,0.9259259259259259,67.2,Alta
DF,211,2,199,12,94.3127962085308,Centro-Oeste,2817381,5760.784,0.7489224922010903,36.62695910834359,0.4422182168755502,0.037037037037037035,0.9629629629629629,0.18518518518518517,39.1,Média
RR,168,15,155,13,92.26190476190477,Norte,636303,223644.527,2.640251578257528,0.7511920915462421,0.35209791675399255,0.48148148148148145,0.07407407407407407,0.1111111111111111,26.5,Baixa
AP,162,16,156,6,96.29629629629629,Norte,733759,142470.762,2.207809376103053,1.1370754091986959,0.33952299115563567,0.2962962962962963,0.1111111111111111,0.48148148148148145,26.9,Baixa
