genre,movies,total_revenue,total_profit,median_roi,avg_rating,votes
Adventure,1481,306981500000,210100000000,114.50,6.56,5893838
Action,2021,297131900000,191100000000,93.40,6.45,6731235
Comedy,2845,240659300000,158700000000,110.00,6.44,5521791
Drama,3766,204727400000,118000000000,67.10,6.82,7182197
Science Fiction,970,162606800000,109400000000,95.10,6.46,4104713
Family,845,146567200000,102700000000,132.10,6.61,2486623
Thriller,2176,154604100000,89800000000,74.65,6.45,5005447
Fantasy,873,139830000000,87000000000,91.70,6.51,2982866
Animation,494,105966800000,74200000000,160.10,6.97,1811845
Romance,1423,96530450000,65700000000,110.80,6.62,2470890
