nuComp,qtPopulacao,qtEsf,qtEap30,qtEap20,qtEsfr,qtCadastroEsfr,qtEcr,qtCadastroEcr,qtEapp20,qtCadastroEapp20,qtEapp30,qtCadastroEapp30,qtCadastroEquipeEsfrEcrEapp,qtCapacidadeEquipe,qtCobertura,competence,coverage_weighted_pct
01/2021,211612541,47647,1082,1980,0,0,172,602000,0,0,0,0,602000,181514187,85.77,2021-01-01,85.77666812289732
02/2021,211634822,47662,1185,2133,0,0,170,97860,0,0,0,0,97860,180560583,85.31,2021-02-01,85.31704815571418
03/2021,211615065,47833,1244,2229,0,0,172,100572,0,0,0,0,100572,181241682,85.64,2021-03-01,85.64687112422737
04/2021,211624016,47892,1539,2390,0,0,175,98095,0,0,0,0,98095,180979060,85.51,2021-04-01,85.51915015165386
05/2021,211637729,48012,1552,2431,0,0,175,98657,0,0,0,0,98657,181304201,85.66,2021-05-01,85.66723988991585
06/2021,211645732,48080,1588,2419,0,0,173,93610,0,0,0,0,93610,181679167,85.84,2021-06-01,85.84116735224313
07/2021,211645732,48231,1641,2470,0,0,176,84545,0,0,0,0,84545,182320290,86.14,2021-07-01,86.14409006839789
08/2021,211640275,48468,1683,2538,0,0,177,91761,0,0,0,0,91761,183124361,86.52,2021-08-01,86.5262346687085
09/2021,211633009,48651,1698,2586,0,0,182,110466,0,0,0,0,110466,183804705,86.85,2021-09-01,86.8506788560569
10/2021,211640967,48798,1773,2609,0,0,182,114445,0,0,0,0,114445,184440764,87.14,2021-10-01,87.14794995243052
11/2021,211645703,48971,1780,2685,0,0,182,107914,0,0,0,0,107914,185360143,87.58,2021-11-01,87.58039514745074
12/2021,211664078,49174,1822,2697,0,0,191,129435,0,0,0,0,129435,186077438,87.91,2021-12-01,87.9116757827939
01/2022,213227583,49094,1851,2723,223,526381,192,88771,0,0,0,0,615152,182068277,85.38,2022-01-01,85.38683149637353
02/2022,213232766,49127,1894,2712,222,522225,187,86495,0,0,0,0,608720,182270970,85.47,2022-02-01,85.4798131728029
03/2022,213216064,49195,1919,2729,221,521481,191,88151,0,0,0,0,609632,182605257,85.64,2022-03-01,85.6432923365474
04/2022,213223214,49261,1913,2729,221,534239,196,89746,0,0,0,0,623985,182834860,85.74,2022-04-01,85.74810245567352
05/2022,213248368,49377,1982,2811,221,538187,201,94874,0,0,0,0,633061,183574561,86.08,2022-05-01,86.08486091673161
06/2022,213238776,49460,2013,2882,221,538867,204,96303,0,0,0,0,635170,184072795,86.32,2022-06-01,86.32238397391664
07/2022,213209650,49581,2086,2911,219,538779,198,97708,0,0,0,0,636487,184739987,86.64,2022-07-01,86.64710391860781
08/2022,213231581,49782,2103,2919,216,538218,202,98987,0,0,0,0,637205,185502830,86.99,2022-08-01,86.99594550208771
09/2022,213296318,49897,2145,2895,219,544339,200,99839,0,0,0,0,644178,185980553,87.19,2022-09-01,87.1935131107139
10/2022,213296318,49993,2155,2905,218,544462,202,98557,0,0,0,0,643019,186359144,87.37,2022-10-01,87.37100843906738
11/2022,213284003,50119,2176,2883,217,545948,211,97918,0,0,0,0,643866,186817616,87.59,2022-11-01,87.59101168970464
12/2022,213288506,50238,2168,2900,218,550306,218,101050,0,0,0,0,651356,187250356,87.79,2022-12-01,87.79205195426705
01/2023,203064866,50505,2213,2891,217,548634,218,102363,401,116631,190,131910,899538,188535413,92.84,2023-01-01,92.84492030246139
02/2023,203065848,50526,2254,2876,217,550472,219,103145,452,137980,157,115886,907483,188698233,92.92,2023-02-01,92.92465220444159
03/2023,203068491,50563,2259,2879,218,551716,217,98982,428,131834,168,116985,899517,188838142,92.99,2023-03-01,92.9923402050592
04/2023,203062515,50624,2311,2936,268,690069,224,108552,427,134195,157,118657,1051473,189439848,93.29,2023-04-01,93.29139255465245
05/2023,203062515,50759,2411,3020,240,614434,226,110782,415,138656,135,113989,977861,190248236,93.68,2023-05-01,93.6894906477446
06/2023,203015742,51191,2489,3154,240,619533,229,110696,458,153631,158,124412,1008272,192229897,94.68,2023-06-01,94.68718785363944
07/2023,203057551,51368,2577,3178,234,607672,235,111799,437,150227,169,131247,1000945,193115070,95.1,2023-07-01,95.10361424579577
08/2023,203051971,51482,2607,3168,239,622984,234,114905,471,164970,177,130658,1033517,193607892,95.34,2023-08-01,95.34893507633078
09/2023,203067931,51671,2697,3195,268,701785,239,116160,425,162283,178,139961,1120189,194639564,95.84,2023-09-01,95.84948398376108
10/2023,203073406,51842,2742,3225,270,711571,242,118389,444,168228,201,151495,1149683,195438183,96.24,2023-10-01,96.24016598214736
11/2023,203080756,52043,2781,3219,270,715173,246,120351,459,160802,166,145138,1141464,196225339,96.62,2023-11-01,96.62429019123802
12/2023,203080756,52364,2858,3183,270,712534,253,121838,452,170954,174,142107,1147433,197493933,97.24,2023-12-01,97.24896484037119
01/2024,203078668,52640,2917,3193,270,705839,255,124441,441,166797,215,159973,1157050,198641925,97.81,2024-01-01,97.8152589616158
02/2024,203058497,52857,2949,3112,270,708462,261,125020,435,167473,191,151964,1152919,199339544,98.16,2024-02-01,98.16853120901412
03/2024,203060174,52998,2996,3078,278,720494,262,126178,432,171438,185,162946,1181056,199925056,98.45,2024-03-01,98.4560645555243
04/2024,203072433,53354,3100,3091,277,720210,260,129526,445,178777,178,155165,1183678,201469428,99.21,2024-04-01,99.21062402399049
05/2024,203070959,53458,3135,3088,280,722984,267,132555,455,175444,202,168278,1199261,201935636,99.44,2024-05-01,99.44092301253178
06/2024,203022704,53599,3172,3082,296,777875,263,131883,495,190815,197,174560,1275133,202591633,99.78,2024-06-01,99.78767350079231
07/2024,203022016,53914,3197,3095,297,778910,267,133202,482,187487,196,166986,1266585,203773960,100.37,2024-07-01,100.37037559512758
08/2024,203033496,54168,3259,3102,314,818275,280,130507,497,193529,182,170951,1313262,204884637,100.91,2024-08-01,100.91174167635866
09/2024,203078668,54300,3292,3093,313,815702,282,131103,491,194360,194,175914,1317079,205421329,101.15,2024-09-01,101.15357315619187
10/2024,203051589,54350,3289,3085,314,819130,283,130300,501,207665,187,175054,1332149,205589524,101.24,2024-10-01,101.24989664572385
11/2024,203078668,54472,3314,3043,312,812815,299,135184,485,202767,185,172083,1322849,205999349,101.43,2024-11-01,101.4382017711481
12/2024,203069120,54629,3323,3032,312,813053,306,136078,499,215059,181,172222,1336412,206566787,101.72,2024-12-01,101.72240220472715
01/2025,212563780,54881,3321,2998,315,815184,323,137956,492,207956,208,179176,1340272,207387897,97.56,2025-01-01,97.56502119034579
02/2025,212570663,54994,3335,2983,322,820959,319,140071,670,252676,148,181076,1394782,207848407,97.77,2025-02-01,97.77850060146824
03/2025,212568164,55043,3343,2969,323,823172,310,141333,673,259035,150,181584,1405124,208026749,97.86,2025-03-01,97.86354884261974
04/2025,212571330,55124,3322,2975,326,827409,317,145400,688,273752,141,180661,1427222,208287722,97.98,2025-04-01,97.98486089351749
05/2025,212583750,55239,3294,3008,325,827937,318,144719,699,287387,134,172749,1432792,208680042,98.16,2025-05-01,98.16368466545538
06/2025,212579921,55361,3293,3034,326,831517,317,144892,357,211239,149,182927,1370575,209087700,98.35,2025-06-01,98.35721973007978
07/2025,212579921,55434,3243,3036,328,835796,320,148375,524,240862,185,190198,1415231,209260106,98.43,2025-07-01,98.43832146310751
08/2025,212579867,55521,3229,3041,328,837806,316,147088,344,203589,160,196757,1385240,209506615,98.55,2025-08-01,98.55430712072089
09/2025,212576839,55649,3244,3032,330,842540,322,149671,660,279711,177,207041,1478963,210071963,98.82,2025-09-01,98.8216609054009
10/2025,212575847,55693,3259,3040,330,843445,331,151312,687,301080,158,190394,1486231,210286606,98.92,2025-10-01,98.92309449436182
11/2025,212578617,55759,3270,3082,331,843736,349,150638,501,247934,214,197883,1440191,210573941,99.05,2025-11-01,99.05697194370214
12/2025,212577992,55816,3255,3065,334,844156,353,153294,659,300047,171,204419,1501916,210766041,99.14,2025-12-01,99.14763001430552
01/2026,213416218,55885,3248,3067,334,841703,353,153924,0,0,0,0,995627,210486377,98.62,2026-01-01,98.62717040557808
02/2026,213397175,55935,3259,3064,334,549639,361,32230,0,0,0,0,581869,210271244,98.53,2026-02-01,98.5351582091
03/2026,213406368,55977,3295,2999,335,0,366,0,687,0,181,0,0,209817125,98.31,2026-03-01,98.31811813600613
04/2026,213407113,56005,3318,2990,338,797963,364,142316,721,314541,168,200202,1455022,211414772,99.06,2026-04-01,99.06641303000993
