nuComp,coRegiao,noRegiao,sgRegiao,coUfIbge,noUf,noUfAcentuado,sgUf,coMunicipioIbge,noMunicipioIbge,noMunicipioAcentuado,coClassificacaoTipologia,nuAnoReferencia,tpOrigemBasePopulacao,qtPopulacao,qtEsf,qtEap30,qtEap20,qtEsfr,qtCadastroEsfr,qtEcr,qtCadastroEcr,qtEapp20,qtCadastroEapp20,qtEapp30,qtCadastroEapp30,qtCadastroEquipeEsfrEcrEapp,qtCapacidadeEquipe,qtCobertura
04/2026,1,NORTE,N,12,ACRE,ACRE,AC,120001,ACRELANDIA,ACRELÂNDIA,3,2025,DOU,14712,6,0,0,0,0,0,0,0,0,0,0,0,21000,142.74
04/2026,1,NORTE,N,12,ACRE,ACRE,AC,120005,ASSIS BRASIL,ASSIS BRASIL,5,2025,DOU,8648,3,2,0,0,0,0,0,0,0,0,0,0,15750,182.12
04/2026,1,NORTE,N,12,ACRE,ACRE,AC,120010,BRASILEIA,BRASILÉIA,4,2025,DOU,28028,9,0,0,0,0,0,0,0,0,0,0,0,31500,112.38
04/2026,1,NORTE,N,12,ACRE,ACRE,AC,120013,BUJARI,BUJARI,3,2025,DOU,13928,4,0,0,1,2051,0,0,0,0,0,0,2051,16051,115.24
04/2026,1,NORTE,N,12,ACRE,ACRE,AC,120017,CAPIXABA,CAPIXABA,3,2025,DOU,10981,5,1,0,0,0,0,0,0,0,0,0,0,20125,183.27
04/2026,1,NORTE,N,12,ACRE,ACRE,AC,120020,CRUZEIRO DO SUL,CRUZEIRO DO SUL,1,2025,DOU,98916,37,4,0,6,14897,1,60,1,113,0,0,15070,155070,156.76
04/2026,1,NORTE,N,12,ACRE,ACRE,AC,120025,EPITACIOLANDIA,EPITACIOLÂNDIA,4,2025,DOU,19874,8,2,0,0,0,0,0,0,0,0,0,0,33250,167.3
04/2026,1,NORTE,N,12,ACRE,ACRE,AC,120030,FEIJO,FEIJÓ,4,2025,DOU,37764,9,0,0,0,0,0,0,0,0,0,0,0,31500,83.41
04/2026,1,NORTE,N,12,ACRE,ACRE,AC,120032,JORDAO,JORDÃO,5,2025,DOU,9884,2,0,0,1,2052,0,0,0,0,0,0,2052,9052,91.58
04/2026,1,NORTE,N,12,ACRE,ACRE,AC,120033,MANCIO LIMA,MÂNCIO LIMA,3,2025,DOU,20479,7,1,0,1,1270,0,0,0,0,0,0,1270,28395,138.65
