uf_sigla,region,ubs_records,missing_latitude,missing_longitude,complete_coordinates,valid_coordinates,out_of_brazil_bbox,duplicated_valid_coordinates,valid_coordinate_pct,missing_any_coordinate_pct
RJ,Southeast,2371,210,210,2161,2161,0,49,91.14297764656263,8.857022353437369
SE,Northeast,592,47,47,545,545,0,14,92.0608108108108,7.939189189189189
RR,North,168,12,13,155,155,0,8,92.26190476190477,7.738095238095238
ES,Southeast,942,64,64,878,878,0,7,93.20594479830149,6.794055201698514
DF,Center-West,211,12,12,199,199,0,0,94.3127962085308,5.687203791469194
SP,Southeast,5824,307,307,5517,5517,0,85,94.72870879120879,5.271291208791209
RS,South,2340,123,123,2217,2217,0,60,94.74358974358974,5.256410256410256
MG,Southeast,6137,313,313,5824,5824,0,99,94.8997881701157,5.100211829884308
MS,Center-West,695,33,33,662,662,0,21,95.25179856115108,4.748201438848921
RO,North,341,15,15,326,326,0,9,95.60117302052787,4.398826979472141
GO,Center-West,1611,64,64,1547,1547,0,49,96.02731222842955,3.972687771570453
SC,South,2057,81,81,1976,1976,0,72,96.06222654350996,3.9377734564900337
AP,North,162,6,4,156,156,0,4,96.29629629629629,3.7037037037037033
PR,South,2367,87,87,2280,2280,0,32,96.32446134347275,3.67553865652725
RN,Northeast,1135,41,41,1094,1094,0,18,96.38766519823788,3.6123348017621146
CE,Northeast,2492,90,90,2402,2402,0,77,96.3884430176565,3.611556982343499
AL,Northeast,1001,34,34,967,967,0,21,96.6033966033966,3.3966033966033966
PB,Northeast,1788,59,59,1729,1729,0,43,96.70022371364652,3.2997762863534676
PE,Northeast,3012,88,88,2924,2921,3,123,96.97875166002656,2.921646746347941
MA,Northeast,2380,53,53,2327,2327,0,148,97.77310924369748,2.226890756302521
BA,Northeast,4449,97,97,4352,4352,0,144,97.81973477185885,2.180265228141155
MT,Center-West,1063,21,21,1042,1042,0,9,98.02445907808091,1.975540921919097
PI,Northeast,1276,25,25,1251,1251,0,72,98.04075235109718,1.9592476489028214
PA,North,1852,29,29,1823,1823,0,24,98.4341252699784,1.565874730021598
AC,North,284,4,4,280,280,0,37,98.59154929577466,1.4084507042253522
AM,North,706,9,9,697,697,0,17,98.72521246458923,1.2747875354107647
TO,North,458,4,4,454,454,0,14,99.12663755458514,0.8733624454148471
