path,bytes,rows,columns,sha256
data/Unidades_Basicas_Saude-UBS.csv,5857785,47714.0,8.0,491ed50baeef6d3ce98004e57d8ea02069e2fef34533b70800ab75c59a27d83d
data/cobertura-aps-latest.csv,758328,5567.0,29.0,ed3f34cf057234e1bc80bfced7620a8ae5d8b62abbc7218cbbf7fd2f6e750b19
data/aps_national_timeseries.csv,8142,64.0,18.0,1c2f1fb9830feaa2f8afcc76cb6ac8e76c62f62909e50f3c347960121cf2f2cc
data/geodata/ibge_malhas_municipais_minima.json,3621817,,,41f2bc05d8f9b92e21b7e53ff1a64ba4b1d910e490ce00bda59f3dbb082f3af2
data/spatial_validation_by_uf.csv,2160,27.0,11.0,b55cfa05ac65a07202c4d083938af36c04e75dca304b9c232b95477efb54d351
data/spatial_validation_suspect_ubs.csv,443821,3997.0,9.0,57f46c99e481561b851f5831c5a19e83f6af7ddaf94ada227a79cf32112817e6
data/spatial_validation_metadata.json,573,,,02609e374202e31ab1b260ac9977860372ba72e8300af1a0adbcfe35793e6ead
data/ubs_operational_status.csv,8942973,47714.0,24.0,dadbdfabccb469bcee77ceb264a363be5f14eee721744efe7a72b79c24bf2e66
data/ubs_operational_status_by_uf.csv,3347,27.0,12.0,16b21c575edc4c1565ce698707ef5b9ec47fe59694b03feca5521dad36ae40f0
data/ubs_operational_status_metadata.json,21123,,,c0d5455b863fb1cf85edc7077409c08cfaaaee71a56b116fc3c1479f816c35d5
data/pharmacies.csv,5804931,28225.0,15.0,eec36170945c28be9ac24b29fe8fc03c72649cbeb344dd531c634391dfdec58f
data/pharmacies_by_uf.csv,415,27.0,4.0,4e19d500aba3b6fc1f0340ea91b7c33a1d85e5fa284d85236b92717828756926
data/pharmacies_metadata.json,743,,,c7637e52f2fa670154fd39c0cd0cf9c9e0fd8c447aac979b57d83ca41d5143a1
data/enriched/municipality_ubs_territory.csv,1561094,5483.0,33.0,732f9e1827d1f4d583e155623f4e8b8444a9ac71cf95b34a838903b624eaedd6
data/enriched/municipality_ubs_aps_coverage.csv,2810839,5483.0,66.0,11d6ed7374ee9d03e605ca36d48270e2b0bec50980536acdae07725d4a4baf70
data/enriched/uf_ubs_territory_summary.csv,3280,27.0,12.0,e6f9112318caf648f4d9b6c7b179e8b51997566b7c2aec988b4b8e7368c189f3
data/enriched/uf_ubs_aps_coverage_summary.csv,7141,27.0,27.0,ddec898c5f0f9a41276aafe02232ce5c7b55c174859607a7b46e899efb69aa30
data/enriched/priority_sensitivity_uf_scores.csv,4111,27.0,15.0,823894121b1c9dc61de95022445b25a690905fe9003d214ace29c2cc8dfc1e3f
data/enriched/robust_priority_index_uf.csv,11834,27.0,29.0,86c2f1cf4de7ffa616258245ddf5db3efa4508d1f8c0f081ccedb12106fe1497
data/enriched/robust_priority_sensitivity_uf.csv,8201,135.0,6.0,3ebae98f33bfee20170fe4d9dbeb708592d1dac08587920cc9b7a065ea2ec4da
data/enriched/municipality_pharmacy_access_gap.csv,2828491,5569.0,54.0,245d5b4cf99c1659d55a4acb960dc5da392dd8320c496b842f07a4cfce86b0ca
data/reference/ibge_municipality_universe.csv,696696,5571.0,8.0,7f8083502253178f9543a2ec74e2aca617a743411e48e0623bb4ccf91b8a81d5
data/quality/telemedicine_index_invalid_codes.csv,1210,1.0,54.0,090c2304452acaa1d780c00b35c84abfffba8ae7bb8d366083a6610737aa5a42
data/enriched/telemedicine_opportunity_preliminary.csv,5115901,5571.0,89.0,a8ac71232cfd87660c73f27e76cef036af8729de93028bc7b96a07c1a01af59c
data/enriched/telemedicine_pre_paper_analytic.csv,2254895,5571.0,46.0,b8fbc3ba69ba04be6021fb67c4ad1b95c2ac0787c743bfdb60d1c79ce7334fbe
data/enriched/telemedicine_opportunity_scenarios.csv,790076,16713.0,6.0,017c81fa15d5690384f736bdb9612f32326db49caabb7c88ef280aa8c7aaf20a
data/enriched/telemedicine_opportunity_monte_carlo.csv,448759,5571.0,11.0,f90ca652884e20bdf072384810e46a8a00844ea3e967b53b0333a8a6504bba3a
data/enriched/telemedicine_opportunity_candidates.csv,1559574,1581.0,89.0,d3a5f009d6beae334b671eb56653042ada590e732026732ce18f18e54bb70561
data/enriched/telemedicine_ads_geo_shortlist.csv,110047,100.0,93.0,95aec34405a5da360d68278a99b45510aba6abb1e47c463559ec0a03ecccb901
data/enriched/telemedicine_opportunity_metadata.json,1698,,,e302777fbcf4d255fa650421dadf5b697d2cae6cd2dd574c017242534c8fc47a
data/enriched/municipality_sia_assisted_production.csv,752098,5483.0,15.0,6180ae1237377d34a88dcf68f23cc70e46734eb45adb18b787f2b824ce84c885
data/enriched/municipality_sia_assisted_production_metadata.json,504,,,02565f4a262a55bd60339620febd443b4c5db5f049af2178cfa0d1115c75353e
data/enriched/municipality_cnes_workforce_teams.csv,1624778,5571.0,23.0,9766479cacaa002e6b52a5ed7d61d5feff7bd53a33fa4975b6a10fb1d92c0926
data/enriched/municipality_cnes_workforce_teams_metadata.json,10882,,,6969410c38f7004f293edb4996b336f0c4c33ed0fb9f4ebfc3184e2d0d9a76eb
data/enriched/municipality_ibge_internet_readiness.csv,1746065,5571.0,19.0,f9440b2f4e5c09c9aa2df25f0901a030ed5668c6ddbf2246b6d9d2c5893bdcc3
data/enriched/municipality_ibge_internet_readiness_metadata.json,527,,,12728dd23af909aaaead6588d7c28f363093fdd01d227adad021138dc552774d
data/enriched/municipality_anatel_connectivity.csv,1662165,5571.0,15.0,7fcc86cb9b6ecf575d96ca8fbed78f3c45ad273a12a3bc8b612baf84229cf566
data/enriched/municipality_anatel_connectivity_metadata.json,1040,,,74d7ce5470d3f598ea167ae27b86abfab2a3ec98d6fbdaa72c8d9cf8afb63426
data/enriched/telemedicine_opportunity_phase1.csv,8339516,5571.0,134.0,8b8e20aff46f000be2c14b79d48d900962deed572bac55a1143dd7d1bf110d3e
data/enriched/telemedicine_opportunity_phase1_monte_carlo.csv,421441,5571.0,9.0,f926fb3a2912b2094dd781793e1140f09810658647fa3dc121ae0e2bf4d7ce1d
data/enriched/telemedicine_phase1_ads_geo_shortlist.csv,178632,100.0,138.0,b793eb5a26318a60660f4e4d2a4709621b7a0545ae2535c9c37938c9657e9be1
data/enriched/telemedicine_opportunity_phase1_metadata.json,1692,,,01da138bb97cc456bdb11df52db55c619b1d71a655c8e38c45779935cdd04e0d
data/spatial/osm_pharmacies.csv,1648609,14776.0,10.0,d6e6e4ef86d6670c302e4060cc5166e1156ef2963a4dccd44201133ef71ced42
data/spatial/osm_pharmacies_metadata.json,753,,,dad5c2b082fb9f7eda318ef8510546fdbfdac398e57546c777c02e67842ea9f3
data/enriched/municipality_phase2_spatial_access.csv,2330080,5571.0,30.0,348bea4faccf1094d8cf7de53f81929835f52a2dfb4b69a70944b1a731c91faa
data/enriched/municipality_phase2_spatial_access_metadata.json,893,,,dbd1ff2a809f06472d3125797132775cb11ec8fe1ffeef98809827eeafe168ac
data/reference/ibge_municipal_seats_2022.csv,359983,5571.0,7.0,c363e7c3125d6fb8bcb984a3086c148bb4126c64a44ee221f1f72604c6055a2b
data/reference/ibge_municipal_seats_2022_metadata.json,579,,,4c0d4f9488e551b5a8c668aa580dc81e99090cca6082e0ea77c2d21ea08a93af
