competencia_cnes,regiao_aps,uf_sigla,estado_nome,municipio_nome_aps,ibge_municipio,aps_populacao,qt_esf,qt_eap_20hs,qt_eap_30hs,qt_ecr,qt_cadastro_ecr,qt_eapp_20hs,qt_cadastro_eapp_20hs,qt_eapp_30hs,qt_cadastro_eapp_30hs,qt_esfr,qt_cadastro_esfr,qt_cadastros_ecr_eapp,aps_capacidade_equipe,cobertura_aps_pct,municipio_key
01/2021,NORTE,AC,ACRE,ACRELÂNDIA,120001,15490.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21000.0,135.57,acrelandia
01/2021,NORTE,AC,ACRE,ASSIS BRASIL,120005,7534.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10500.0,139.36,assis_brasil
01/2021,NORTE,AC,ACRE,BRASILÉIA,120010,26702.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31500.0,117.96,brasileia
01/2021,NORTE,AC,ACRE,BUJARI,120013,10420.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12277.0,117.82,bujari
01/2021,NORTE,AC,ACRE,CAPIXABA,120017,12008.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17500.0,145.73,capixaba
01/2021,NORTE,AC,ACRE,CRUZEIRO DO SUL,120020,89072.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136500.0,153.24,cruzeiro_do_sul
01/2021,NORTE,AC,ACRE,EPITACIOLÂNDIA,120025,18696.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24500.0,131.04,epitaciolandia
01/2021,NORTE,AC,ACRE,FEIJÓ,120030,34884.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28000.0,80.26,feijo
01/2021,NORTE,AC,ACRE,JORDÃO,120032,8473.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10500.0,123.92,jordao
01/2021,NORTE,AC,ACRE,MÂNCIO LIMA,120033,19311.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28000.0,144.99,mancio_lima
01/2021,NORTE,AC,ACRE,MANOEL URBANO,120034,9581.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11908.0,124.28,manoel_urbano
01/2021,NORTE,AC,ACRE,MARECHAL THAUMATURGO,120035,19299.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15239.0,78.96,marechal_thaumaturgo
01/2021,NORTE,AC,ACRE,PLÁCIDO DE CASTRO,120038,19955.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28000.0,140.31,placido_de_castro
01/2021,NORTE,AC,ACRE,PORTO ACRE,120080,18824.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17500.0,92.96,porto_acre
01/2021,NORTE,AC,ACRE,PORTO WALTER,120039,12241.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16551.0,135.2,porto_walter
01/2021,NORTE,AC,ACRE,RIO BRANCO,120040,413418.0,73.0,4.0,10.0,1.0,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,3500.0,327250.0,79.15,rio_branco
01/2021,NORTE,AC,ACRE,RODRIGUES ALVES,120042,19351.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28000.0,144.69,rodrigues_alves
01/2021,NORTE,AC,ACRE,SANTA ROSA DO PURUS,120043,6717.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7000.0,104.21,santa_rosa_do_purus
01/2021,NORTE,AC,ACRE,SENA MADUREIRA,120050,46511.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55709.0,119.77,sena_madureira
01/2021,NORTE,AC,ACRE,SENADOR GUIOMARD,120045,23236.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28000.0,120.5,senador_guiomard
01/2021,NORTE,AC,ACRE,TARAUACÁ,120060,43151.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35000.0,81.11,tarauaca
01/2021,NORTE,AC,ACRE,XAPURI,120070,19596.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26250.0,133.95,xapuri
