ibge_municipio,ibge_municipio_7,municipio_nome_oficial,uf_sigla_oficial,uf_nome_oficial,regiao_nome_oficial,source_url,retrieved_at,municipio_nome_sidra,households_total,households_with_internet,households_without_internet,households_with_internet_pct,households_without_internet_pct,internet_data_status,household_internet_readiness,household_count_residual,internet_quality_flag,internet_interpretation
110001,1100015,Alta Floresta D'Oeste,RO,Rondônia,Norte,https://servicodados.ibge.gov.br/api/v1/localidades/municipios,2026-07-12,Alta Floresta D'Oeste - RO,7699.0,6725.0,974.0,87.35,12.65,available_census_2022,0.8734999999999999,0.0,valid_0_100,"household access; does not measure speed, stability, literacy or pharmacy connectivity"
110002,1100023,Ariquemes,RO,Rondônia,Norte,https://servicodados.ibge.gov.br/api/v1/localidades/municipios,2026-07-12,Ariquemes - RO,34739.0,30940.0,3799.0,89.06,10.94,available_census_2022,0.8906000000000001,0.0,valid_0_100,"household access; does not measure speed, stability, literacy or pharmacy connectivity"
110003,1100031,Cabixi,RO,Rondônia,Norte,https://servicodados.ibge.gov.br/api/v1/localidades/municipios,2026-07-12,Cabixi - RO,1967.0,1807.0,160.0,91.87,8.13,available_census_2022,0.9187000000000001,0.0,valid_0_100,"household access; does not measure speed, stability, literacy or pharmacy connectivity"
110004,1100049,Cacoal,RO,Rondônia,Norte,https://servicodados.ibge.gov.br/api/v1/localidades/municipios,2026-07-12,Cacoal - RO,31930.0,29156.0,2774.0,91.31,8.69,available_census_2022,0.9131,0.0,valid_0_100,"household access; does not measure speed, stability, literacy or pharmacy connectivity"
110005,1100056,Cerejeiras,RO,Rondônia,Norte,https://servicodados.ibge.gov.br/api/v1/localidades/municipios,2026-07-12,Cerejeiras - RO,5876.0,5324.0,552.0,90.61,9.39,available_census_2022,0.9061,0.0,valid_0_100,"household access; does not measure speed, stability, literacy or pharmacy connectivity"
110006,1100064,Colorado do Oeste,RO,Rondônia,Norte,https://servicodados.ibge.gov.br/api/v1/localidades/municipios,2026-07-12,Colorado do Oeste - RO,5991.0,5332.0,659.0,89.0,11.0,available_census_2022,0.89,0.0,valid_0_100,"household access; does not measure speed, stability, literacy or pharmacy connectivity"
110007,1100072,Corumbiara,RO,Rondônia,Norte,https://servicodados.ibge.gov.br/api/v1/localidades/municipios,2026-07-12,Corumbiara - RO,2841.0,2372.0,469.0,83.49,16.51,available_census_2022,0.8349,0.0,valid_0_100,"household access; does not measure speed, stability, literacy or pharmacy connectivity"
110008,1100080,Costa Marques,RO,Rondônia,Norte,https://servicodados.ibge.gov.br/api/v1/localidades/municipios,2026-07-12,Costa Marques - RO,4161.0,3486.0,676.0,83.78,16.25,available_census_2022,0.8378,-1.0,valid_0_100,"household access; does not measure speed, stability, literacy or pharmacy connectivity"
110009,1100098,Espigão D'Oeste,RO,Rondônia,Norte,https://servicodados.ibge.gov.br/api/v1/localidades/municipios,2026-07-12,Espigão D'Oeste - RO,10475.0,9425.0,1050.0,89.98,10.02,available_census_2022,0.8998,0.0,valid_0_100,"household access; does not measure speed, stability, literacy or pharmacy connectivity"
110010,1100106,Guajará-Mirim,RO,Rondônia,Norte,https://servicodados.ibge.gov.br/api/v1/localidades/municipios,2026-07-12,Guajará-Mirim - RO,11785.0,9668.0,2117.0,82.04,17.96,available_census_2022,0.8204,0.0,valid_0_100,"household access; does not measure speed, stability, literacy or pharmacy connectivity"
110011,1100114,Jaru,RO,Rondônia,Norte,https://servicodados.ibge.gov.br/api/v1/localidades/municipios,2026-07-12,Jaru - RO,19099.0,17113.0,1986.0,89.6,10.4,available_census_2022,0.8959999999999999,0.0,valid_0_100,"household access; does not measure speed, stability, literacy or pharmacy connectivity"
110012,1100122,Ji-Paraná,RO,Rondônia,Norte,https://servicodados.ibge.gov.br/api/v1/localidades/municipios,2026-07-12,Ji-Paraná - RO,45045.0,41273.0,3772.0,91.63,8.37,available_census_2022,0.9163,0.0,valid_0_100,"household access; does not measure speed, stability, literacy or pharmacy connectivity"
110013,1100130,Machadinho D'Oeste,RO,Rondônia,Norte,https://servicodados.ibge.gov.br/api/v1/localidades/municipios,2026-07-12,Machadinho D'Oeste - RO,10841.0,8966.0,1875.0,82.7,17.3,available_census_2022,0.8270000000000001,0.0,valid_0_100,"household access; does not measure speed, stability, literacy or pharmacy connectivity"
110014,1100148,Nova Brasilândia D'Oeste,RO,Rondônia,Norte,https://servicodados.ibge.gov.br/api/v1/localidades/municipios,2026-07-12,Nova Brasilândia D'Oeste - RO,5801.0,5071.0,730.0,87.42,12.58,available_census_2022,0.8742,0.0,valid_0_100,"household access; does not measure speed, stability, literacy or pharmacy connectivity"
110015,1100155,Ouro Preto do Oeste,RO,Rondônia,Norte,https://servicodados.ibge.gov.br/api/v1/localidades/municipios,2026-07-12,Ouro Preto do Oeste - RO,13316.0,12245.0,1071.0,91.96,8.04,available_census_2022,0.9196,0.0,valid_0_100,"household access; does not measure speed, stability, literacy or pharmacy connectivity"
110018,1100189,Pimenta Bueno,RO,Rondônia,Norte,https://servicodados.ibge.gov.br/api/v1/localidades/municipios,2026-07-12,Pimenta Bueno - RO,12353.0,11086.0,1267.0,89.74,10.26,available_census_2022,0.8974,0.0,valid_0_100,"household access; does not measure speed, stability, literacy or pharmacy connectivity"
110020,1100205,Porto Velho,RO,Rondônia,Norte,https://servicodados.ibge.gov.br/api/v1/localidades/municipios,2026-07-12,Porto Velho - RO,152077.0,136380.0,15697.0,89.68,10.32,available_census_2022,0.8968,0.0,valid_0_100,"household access; does not measure speed, stability, literacy or pharmacy connectivity"
110025,1100254,Presidente Médici,RO,Rondônia,Norte,https://servicodados.ibge.gov.br/api/v1/localidades/municipios,2026-07-12,Presidente Médici - RO,7232.0,6486.0,746.0,89.68,10.32,available_census_2022,0.8968,0.0,valid_0_100,"household access; does not measure speed, stability, literacy or pharmacy connectivity"
110026,1100262,Rio Crespo,RO,Rondônia,Norte,https://servicodados.ibge.gov.br/api/v1/localidades/municipios,2026-07-12,Rio Crespo - RO,1245.0,1069.0,176.0,85.86,14.14,available_census_2022,0.8586,0.0,valid_0_100,"household access; does not measure speed, stability, literacy or pharmacy connectivity"
110028,1100288,Rolim de Moura,RO,Rondônia,Norte,https://servicodados.ibge.gov.br/api/v1/localidades/municipios,2026-07-12,Rolim de Moura - RO,20998.0,19492.0,1506.0,92.83,7.17,available_census_2022,0.9283,0.0,valid_0_100,"household access; does not measure speed, stability, literacy or pharmacy connectivity"
110029,1100296,Santa Luzia D'Oeste,RO,Rondônia,Norte,https://servicodados.ibge.gov.br/api/v1/localidades/municipios,2026-07-12,Santa Luzia D'Oeste - RO,2758.0,2406.0,352.0,87.24,12.76,available_census_2022,0.8724,0.0,valid_0_100,"household access; does not measure speed, stability, literacy or pharmacy connectivity"
110030,1100304,Vilhena,RO,Rondônia,Norte,https://servicodados.ibge.gov.br/api/v1/localidades/municipios,2026-07-12,Vilhena - RO,34983.0,31778.0,3206.0,90.84,9.16,available_census_2022,0.9084,-1.0,valid_0_100,"household access; does not measure speed, stability, literacy or pharmacy connectivity"
110032,1100320,São Miguel do Guaporé,RO,Rondônia,Norte,https://servicodados.ibge.gov.br/api/v1/localidades/municipios,2026-07-12,São Miguel do Guaporé - RO,7883.0,6893.0,990.0,87.44,12.56,available_census_2022,0.8744,0.0,valid_0_100,"household access; does not measure speed, stability, literacy or pharmacy connectivity"
110033,1100338,Nova Mamoré,RO,Rondônia,Norte,https://servicodados.ibge.gov.br/api/v1/localidades/municipios,2026-07-12,Nova Mamoré - RO,8437.0,7334.0,1103.0,86.93,13.07,available_census_2022,0.8693000000000001,0.0,valid_0_100,"household access; does not measure speed, stability, literacy or pharmacy connectivity"
110034,1100346,Alvorada D'Oeste,RO,Rondônia,Norte,https://servicodados.ibge.gov.br/api/v1/localidades/municipios,2026-07-12,Alvorada D'Oeste - RO,4819.0,4129.0,690.0,85.68,14.32,available_census_2022,0.8568000000000001,0.0,valid_0_100,"household access; does not measure speed, stability, literacy or pharmacy connectivity"
110037,1100379,Alto Alegre dos Parecis,RO,Rondônia,Norte,https://servicodados.ibge.gov.br/api/v1/localidades/municipios,2026-07-12,Alto Alegre dos Parecis - RO,4047.0,3434.0,613.0,84.85,15.15,available_census_2022,0.8484999999999999,0.0,valid_0_100,"household access; does not measure speed, stability, literacy or pharmacy connectivity"
110040,1100403,Alto Paraíso,RO,Rondônia,Norte,https://servicodados.ibge.gov.br/api/v1/localidades/municipios,2026-07-12,Alto Paraíso - RO,5775.0,5016.0,759.0,86.86,13.14,available_census_2022,0.8686,0.0,valid_0_100,"household access; does not measure speed, stability, literacy or pharmacy connectivity"
110045,1100452,Buritis,RO,Rondônia,Norte,https://servicodados.ibge.gov.br/api/v1/localidades/municipios,2026-07-12,Buritis - RO,9893.0,8705.0,1188.0,87.99,12.01,available_census_2022,0.8798999999999999,0.0,valid_0_100,"household access; does not measure speed, stability, literacy or pharmacy connectivity"
110050,1100502,Novo Horizonte do Oeste,RO,Rondônia,Norte,https://servicodados.ibge.gov.br/api/v1/localidades/municipios,2026-07-12,Novo Horizonte do Oeste - RO,2796.0,2482.0,313.0,88.77,11.19,available_census_2022,0.8876999999999999,1.0,valid_0_100,"household access; does not measure speed, stability, literacy or pharmacy connectivity"
110060,1100601,Cacaulândia,RO,Rondônia,Norte,https://servicodados.ibge.gov.br/api/v1/localidades/municipios,2026-07-12,Cacaulândia - RO,1484.0,1262.0,222.0,85.04,14.96,available_census_2022,0.8504,0.0,valid_0_100,"household access; does not measure speed, stability, literacy or pharmacy connectivity"
110070,1100700,Campo Novo de Rondônia,RO,Rondônia,Norte,https://servicodados.ibge.gov.br/api/v1/localidades/municipios,2026-07-12,Campo Novo de Rondônia - RO,3069.0,2709.0,360.0,88.27,11.73,available_census_2022,0.8826999999999999,0.0,valid_0_100,"household access; does not measure speed, stability, literacy or pharmacy connectivity"
110080,1100809,Candeias do Jamari,RO,Rondônia,Norte,https://servicodados.ibge.gov.br/api/v1/localidades/municipios,2026-07-12,Candeias do Jamari - RO,7442.0,5861.0,1581.0,78.76,21.24,available_census_2022,0.7876000000000001,0.0,valid_0_100,"household access; does not measure speed, stability, literacy or pharmacy connectivity"
110090,1100908,Castanheiras,RO,Rondônia,Norte,https://servicodados.ibge.gov.br/api/v1/localidades/municipios,2026-07-12,Castanheiras - RO,1197.0,1041.0,156.0,86.97,13.03,available_census_2022,0.8697,0.0,valid_0_100,"household access; does not measure speed, stability, literacy or pharmacy connectivity"
110092,1100924,Chupinguaia,RO,Rondônia,Norte,https://servicodados.ibge.gov.br/api/v1/localidades/municipios,2026-07-12,Chupinguaia - RO,3220.0,2858.0,362.0,88.76,11.24,available_census_2022,0.8876000000000001,0.0,valid_0_100,"household access; does not measure speed, stability, literacy or pharmacy connectivity"
110094,1100940,Cujubim,RO,Rondônia,Norte,https://servicodados.ibge.gov.br/api/v1/localidades/municipios,2026-07-12,Cujubim - RO,5227.0,4271.0,956.0,81.71,18.29,available_census_2022,0.8170999999999999,0.0,valid_0_100,"household access; does not measure speed, stability, literacy or pharmacy connectivity"
110100,1101005,Governador Jorge Teixeira,RO,Rondônia,Norte,https://servicodados.ibge.gov.br/api/v1/localidades/municipios,2026-07-12,Governador Jorge Teixeira - RO,2883.0,2247.0,637.0,77.94,22.1,available_census_2022,0.7794,-1.0,valid_0_100,"household access; does not measure speed, stability, literacy or pharmacy connectivity"
110110,1101104,Itapuã do Oeste,RO,Rondônia,Norte,https://servicodados.ibge.gov.br/api/v1/localidades/municipios,2026-07-12,Itapuã do Oeste - RO,2911.0,2521.0,390.0,86.6,13.4,available_census_2022,0.866,0.0,valid_0_100,"household access; does not measure speed, stability, literacy or pharmacy connectivity"
110120,1101203,Ministro Andreazza,RO,Rondônia,Norte,https://servicodados.ibge.gov.br/api/v1/localidades/municipios,2026-07-12,Ministro Andreazza - RO,2383.0,2130.0,253.0,89.38,10.62,available_census_2022,0.8937999999999999,0.0,valid_0_100,"household access; does not measure speed, stability, literacy or pharmacy connectivity"
110130,1101302,Mirante da Serra,RO,Rondônia,Norte,https://servicodados.ibge.gov.br/api/v1/localidades/municipios,2026-07-12,Mirante da Serra - RO,3508.0,3161.0,347.0,90.11,9.89,available_census_2022,0.9011,0.0,valid_0_100,"household access; does not measure speed, stability, literacy or pharmacy connectivity"
110140,1101401,Monte Negro,RO,Rondônia,Norte,https://servicodados.ibge.gov.br/api/v1/localidades/municipios,2026-07-12,Monte Negro - RO,4226.0,3630.0,596.0,85.9,14.1,available_census_2022,0.8590000000000001,0.0,valid_0_100,"household access; does not measure speed, stability, literacy or pharmacy connectivity"
110143,1101435,Nova União,RO,Rondônia,Norte,https://servicodados.ibge.gov.br/api/v1/localidades/municipios,2026-07-12,Nova União - RO,2236.0,2059.0,177.0,92.08,7.92,available_census_2022,0.9208,0.0,valid_0_100,"household access; does not measure speed, stability, literacy or pharmacy connectivity"
