ibge_municipio,ubs_in_operational_source,active_ubs_cnes_st,ubs_with_recent_sia_production,active_ubs_with_recent_sia_production,sia_record_rows,sia_quantity_all_procedures,sia_approved_value,sia_competence_observations,populacao_residente,sia_reporting_coverage_pct,sia_quantity_all_procedures_per_1000,sia_quantity_per_reporting_ubs,production_interpretation,consultation_specific_status
110001,4,4,1,1,2289,25134.0,298910.6999999977,2,21494.0,25.0,1169.3495859309576,25134.0,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
110002,16,16,12,12,16269,179784.0,73624.28000000004,36,96833.0,75.0,1856.6397818925366,14982.0,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
110003,3,3,0,0,0,0.0,0.0,0,5351.0,0.0,0.0,,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
110004,15,13,0,0,0,0.0,0.0,0,86887.0,0.0,0.0,,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
110005,6,4,4,4,52386,71645.0,1493.8900000000008,12,15890.0,100.0,4508.8105726872245,17911.25,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
110006,5,5,5,5,3492,10745.0,0.0,5,15663.0,100.0,686.0116197407904,2149.0,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
110007,4,4,3,3,4236,33418.0,3911.58,9,7519.0,75.0,4444.473999202022,11139.333333333334,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
110008,3,3,3,3,86,86.0,31.0,3,12627.0,100.0,6.81080224914865,28.666666666666668,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
110009,6,6,0,0,0,0.0,0.0,0,29414.0,0.0,0.0,,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
110010,10,9,0,0,0,0.0,0.0,0,39387.0,0.0,0.0,,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
110011,12,11,0,0,0,0.0,0.0,0,50591.0,0.0,0.0,,all_outpatient_procedures_reporting_proxy,not_yet_filtered_by_sigtap
