uf_sigla,uf_nome,regiao_nome,score_base,score_coverage_led,score_territory_led,score_data_quality_led,rank_base,rank_coverage_led,rank_territory_led,rank_data_quality_led,rank_min,rank_max,rank_range,rank_std
DF,Distrito Federal,Centro-Oeste,83.29129361283906,82.7629739831162,63.265747166389,52.09775591725629,1.0,1.0,2.0,1.0,1.0,2.0,1.0,0.5
AM,Amazonas,Norte,55.55395164332611,52.25849916550653,67.1500615264144,41.91872835061019,2.0,4.0,1.0,2.0,1.0,4.0,3.0,1.2583057392117916
SP,São Paulo,Sudeste,53.5778817027426,53.34175493664593,49.567996747539965,36.485434306022476,3.0,2.0,14.0,6.0,2.0,14.0,12.0,5.439056290693573
PA,Pará,Norte,52.48250336562193,51.71519169537953,57.84317786427722,38.07173223183376,4.0,5.0,6.0,4.0,4.0,6.0,2.0,0.9574271077563381
RJ,Rio de Janeiro,Sudeste,52.21632468229657,52.69127274384678,42.41263303658719,34.58361763727584,5.0,3.0,18.0,11.0,3.0,18.0,15.0,6.751543033509698
RO,Rondônia,Norte,49.357681462970284,47.71300434295967,61.113486692992105,38.91817002249925,6.0,7.0,3.0,3.0,3.0,7.0,4.0,2.0615528128088303
PR,Paraná,Sul,48.59475433322014,46.96266729704151,50.012421538222426,34.67130107633361,7.0,8.0,12.0,10.0,7.0,12.0,5.0,2.217355782608345
RS,Rio Grande do Sul,Sul,48.0645255061876,46.92912374397781,49.97537573243383,34.73441093245249,8.0,9.0,13.0,9.0,8.0,13.0,5.0,2.217355782608345
MS,Mato Grosso do Sul,Centro-Oeste,47.04530331259147,47.96443584418625,57.79112362074411,37.79366305505658,9.0,6.0,7.0,5.0,5.0,9.0,4.0,1.707825127659933
AC,Acre,Norte,45.40209111864055,45.452503280240734,58.164202051667594,35.714196025384645,10.0,11.0,5.0,8.0,5.0,11.0,6.0,2.6457513110645907
MT,Mato Grosso,Centro-Oeste,45.17496124041498,46.2019576313029,59.04754510827998,36.26228979746304,11.0,10.0,4.0,7.0,4.0,11.0,7.0,3.1622776601683795
GO,Goiás,Centro-Oeste,45.08382334448296,44.786216087289304,52.730752562103945,34.230289712684076,12.0,12.0,10.0,12.0,10.0,12.0,2.0,1.0
SC,Santa Catarina,Sul,44.80526830005625,43.42775913322317,43.936111110046205,31.284303450164842,13.0,13.0,15.0,15.0,13.0,15.0,2.0,1.1547005383792515
ES,Espírito Santo,Sudeste,42.382537118998,42.182381659532794,39.47957480912317,29.873313043269263,14.0,14.0,21.0,16.0,14.0,21.0,7.0,3.304037933599835
SE,Sergipe,Nordeste,42.00720040348338,40.93315226235747,37.522118637301496,28.706733327922866,15.0,15.0,23.0,19.0,15.0,23.0,8.0,3.8297084310253524
TO,Tocantins,Norte,39.437085040409315,38.6860291782205,53.153764994125844,31.93873386008765,16.0,19.0,9.0,14.0,9.0,19.0,10.0,4.203173404306164
MG,Minas Gerais,Sudeste,39.24957450496847,39.79613633760487,42.50557625171663,28.94298376624679,17.0,16.0,17.0,18.0,16.0,18.0,2.0,0.816496580927726
CE,Ceará,Nordeste,39.047499584111094,38.695835668689455,38.52102561304368,27.989020522621505,18.0,18.0,22.0,21.0,18.0,22.0,4.0,2.0615528128088303
BA,Bahia,Nordeste,38.596316659626915,38.922273890682185,42.171479047695115,28.22747568763026,19.0,17.0,19.0,20.0,17.0,20.0,3.0,1.2583057392117916
RR,Roraima,Norte,37.29290533975911,37.24791897678256,54.03388158065983,32.68243594095805,20.0,21.0,8.0,13.0,8.0,21.0,13.0,6.137317546507322
PE,Pernambuco,Nordeste,36.462862624351416,38.21948651332151,32.167921361816575,24.84612892925678,21.0,20.0,25.0,24.0,20.0,25.0,5.0,2.3804761428476167
AL,Alagoas,Nordeste,36.25990810691242,36.613852000799646,31.716211686083867,24.2863789757736,22.0,23.0,26.0,25.0,22.0,26.0,4.0,1.8257418583505538
MA,Maranhão,Nordeste,36.17222464499387,36.82921179576895,41.924613153854914,27.436900999054075,23.0,22.0,20.0,22.0,20.0,23.0,3.0,1.2583057392117916
RN,Rio Grande do Norte,Nordeste,34.50510731294298,35.66511211587338,34.59986081519602,24.280336339168358,24.0,24.0,24.0,26.0,24.0,26.0,2.0,1.0
PI,Piauí,Nordeste,33.480006784471975,34.621112629988836,43.415381884089854,26.952739107680504,25.0,26.0,16.0,23.0,16.0,26.0,10.0,4.509249752822894
AP,Amapá,Norte,33.09876852908921,35.139826829611785,50.123808924526266,28.95109333612,26.0,25.0,11.0,17.0,11.0,26.0,15.0,7.088723439378913
PB,Paraíba,Nordeste,28.90479195555467,31.67043641107546,28.899053918295333,20.827167077850383,27.0,27.0,27.0,27.0,27.0,27.0,0.0,0.0
