uf_sigla,uf_nome,regiao_nome,ubs_records,population,area_km2,ubs_per_10k_population,ubs_per_1000_km2,cobertura_aps_ponderada_capped_pct,active_with_recent_sia_production_pct,spatial_issue_pct,population_density,ubs_population_gap,aps_coverage_gap,operational_gap,spatial_quality_gap,territorial_vulnerability_proxy,robust_priority_balanced,robust_priority_coverage_led,robust_priority_operations_led,robust_priority_data_quality_led,robust_priority_vulnerability_led,robust_priority_min,robust_priority_max,robust_priority_range,rank_min,rank_max,rank_range,priority_stability_flag
DF,Distrito Federal,Centro-Oeste,210,2817381.0,5760.784,0.7453730965034548,36.45337162441778,76.43370697510994,0.0,5.687203791469194,489.0620790503515,0.962962962962963,0.2356629302489006,1.0,0.05687203791469195,0.5185185185185186,58.59650567679475,51.66453722048788,68.47995275501206,45.34356518260554,59.218060531034546,45.34356518260554,68.47995275501206,23.136387572406527,1.0,1.0,0.0,stable
SP,São Paulo,Sudeste,5824,44356876.0,246710.738,1.3129869650874422,23.606593078246963,66.46261686446205,31.473214285714285,8.653846153846153,179.79304978610213,0.9259259259259259,0.3353738313553795,0.6852678571428572,0.08653846153846154,0.5740740740740741,55.14703910907781,50.343791776803705,58.04146034412822,43.93710289602076,57.16277826232113,43.93710289602076,58.04146034412822,14.104357448107457,2.0,2.0,0.0,stable
RJ,Rio de Janeiro,Sudeste,2371,15832337.0,41786.319,1.4975679206424168,56.74105919691083,76.27252682723076,29.77646562631801,15.47870097005483,378.8880518525692,0.8888888888888888,0.23727473172769237,0.7022353437368198,0.1547870097005483,0.48148148148148145,51.74282475788138,45.76644735055481,55.99558081475562,42.742007545155346,52.386445741259514,42.742007545155346,55.99558081475562,13.253573269600274,3.0,3.0,0.0,stable
AM,Amazonas,Norte,706,3877709.0,1520454.917,1.8206626644753383,0.4643347146346201,79.34258296164401,36.96883852691218,1.9830028328611895,2.5503610509222354,0.8518518518518519,0.20657417038355988,0.6303116147308783,0.019830028328611894,0.5,46.86433327543204,41.17986955377488,50.502093329415885,36.07008199797112,49.16896983765216,36.07008199797112,50.502093329415885,14.432011331444762,4.0,10.0,6.0,moderate
RS,Rio Grande do Sul,Sul,2340,10594890.0,248986.358,2.208611887428751,9.398105256834995,86.85456309783203,18.63247863247864,9.05982905982906,42.55209034384124,0.7037037037037037,0.13145436902167973,0.8136752136752136,0.0905982905982906,0.5185185185185186,46.28920822839099,39.88039698308941,54.88925556546715,37.373016249227845,49.32686240307399,37.373016249227845,54.88925556546715,17.516239316239307,4.0,6.0,2.0,stable
GO,Goiás,Centro-Oeste,1611,7047582.0,339057.727,2.285890394748156,4.751403291274939,78.41283615114534,31.22284295468653,7.697082557417753,20.785787902129126,0.6666666666666667,0.21587163848854657,0.6877715704531346,0.07697082557417753,0.537037037037037,45.029006977111244,40.38284815903286,50.764646662253796,36.2640259297895,48.47714407586853,36.2640259297895,50.764646662253796,14.500620732464299,5.0,9.0,4.0,moderate
PA,Pará,Norte,1852,8044522.0,1232380.097,2.302187749626392,1.502783114161247,88.50992201134716,11.663066954643629,5.993520518358531,6.527630574027357,0.6296296296296297,0.11490077988652843,0.8833693304535637,0.05993520518358531,0.5185185185185185,44.957452702506785,38.77145716138386,55.67776527385864,35.644227956844006,48.42558544824469,35.644227956844006,55.67776527385864,20.033537317014634,4.0,8.0,4.0,moderate
AP,Amapá,Norte,162,733759.0,142470.762,2.207809376103053,1.137075409198696,98.28856676300686,21.604938271604937,10.493827160493826,5.150242686285345,0.7407407407407407,0.017114332369931446,0.7839506172839507,0.10493827160493825,0.537037037037037,44.255018803075444,35.832721442945406,52.70311971105382,36.3450950196958,48.29571230364642,35.832721442945406,52.70311971105382,16.870398268108417,5.0,11.0,6.0,moderate
RO,Rondônia,Norte,341,1581196.0,237754.173,2.1565953872891157,1.4342545314651531,85.40711778304176,40.76246334310851,4.69208211143695,6.650549935878518,0.7777777777777778,0.14592882216958245,0.5923753665689149,0.0469208211143695,0.5555555555555556,43.977317980111174,37.72962600506286,47.55144998184818,34.895536003353556,48.16630824186774,34.895536003353556,48.16630824186774,13.270772238514184,8.0,15.0,7.0,sensitive
PR,Paraná,Sul,2367,11328651.0,194916.794,2.089392638187901,12.14364319987738,84.5826642175919,45.58512885509084,6.337135614702155,58.1204459991272,0.8148148148148149,0.15417335782408104,0.5441487114490917,0.06337135614702155,0.5,43.558248887159564,37.38873405947782,45.968191839228055,34.77786653293317,46.455658393234536,34.77786653293317,46.455658393234536,11.677791860301369,9.0,18.0,9.0,sensitive
MS,Mato Grosso do Sul,Centro-Oeste,695,2739361.0,354296.358,2.5370880289235336,1.9616346155045712,89.9155292248376,10.359712230215829,8.920863309352518,7.731835053184486,0.5555555555555556,0.10084470775162402,0.8964028776978417,0.08920863309352517,0.5,43.176193633039205,37.23954370574841,54.7418234445652,34.9871471855724,46.557251102438904,34.9871471855724,54.7418234445652,19.754676258992802,6.0,11.0,5.0,moderate
RR,Roraima,Norte,168,636707.0,223644.527,2.638576299616621,0.7511920915462421,100.0,6.547619047619048,10.714285714285714,2.8469598990007925,0.5185185185185186,0.0,0.9345238095238095,0.10714285714285714,0.5,40.76058201058201,33.44047619047619,54.0,33.66666666666667,44.82870370370371,33.44047619047619,54.0,20.55952380952381,7.0,13.0,6.0,moderate
SE,Sergipe,Nordeste,592,2205259.0,21754.763,2.684491934960928,27.212431594864995,95.71190560134646,18.41216216216216,14.527027027027026,101.36901974064254,0.4814814814814815,0.042880943986535414,0.8158783783783784,0.14527027027027026,0.5185185185185186,39.38346003609982,33.03318070240436,50.0391242590249,33.72305819295884,43.87226990467056,33.03318070240436,50.0391242590249,17.005943556620544,11.0,13.0,2.0,stable
CE,Ceará,Nordeste,2492,8784351.0,148649.977,2.8368629623292607,16.76421382830083,92.27863007531336,15.12841091492777,7.584269662921349,59.09419683260361,0.40740740740740744,0.07721369924686641,0.8487158908507223,0.07584269662921349,0.5,37.72748593280949,32.608879698071554,49.58192791335639,30.75969677370951,42.22459184534616,30.75969677370951,49.58192791335639,18.822231139646878,12.0,15.0,3.0,moderate
