ibge_municipio,municipio_nome_ibge,uf_sigla,phase1_eligibility,phase1_mc_score_median,phase1_mc_rank_median,phase1_mc_rank_p05,phase1_mc_rank_p95,phase1_mc_probability_top_decile
351620,Franca,SP,eligible_phase1_proxy,89.15147399902344,1.0,1.0,2.0,1.0
520870,Goiânia,GO,eligible_phase1_proxy,88.47196960449219,2.0,1.0,4.0,1.0
520510,Catalão,GO,eligible_phase1_proxy,87.99606323242188,3.0,1.0,5.0,1.0
350330,Araras,SP,eligible_phase1_proxy,86.54624938964844,4.0,3.0,13.0,1.0
317010,Uberaba,MG,eligible_phase1_proxy,85.44049072265625,5.0,4.0,10.0,1.0
354140,Presidente Prudente,SP,eligible_phase1_proxy,85.23030853271484,7.0,5.0,12.0,1.0
410690,Curitiba,PR,eligible_phase1_proxy,84.50827026367188,8.0,3.0,22.0,1.0
352430,Jaboticabal,SP,eligible_phase1_proxy,83.93058013916016,10.0,5.0,41.04999923706055,1.0
411370,Londrina,PR,eligible_phase1_proxy,84.22702026367188,10.0,7.0,18.0,1.0
352690,Limeira,SP,eligible_phase1_proxy,83.95466613769531,11.0,5.0,26.0,1.0
317020,Uberlândia,MG,eligible_phase1_proxy,83.80402374267578,11.0,6.949999809265137,26.0,1.0
521250,Luziânia,GO,eligible_phase1_proxy,83.90933227539062,12.0,5.0,32.0,1.0
354890,São Carlos,SP,eligible_phase1_proxy,83.54552459716797,13.0,10.0,20.049999237060547,1.0
430210,Bento Gonçalves,RS,eligible_phase1_proxy,82.87796020507812,16.0,10.0,32.0,1.0
353030,Mirassol,SP,eligible_phase1_proxy,82.97998046875,17.0,10.0,28.0,1.0
355700,Votorantim,SP,eligible_phase1_proxy,82.74445343017578,18.0,12.0,29.0,1.0
521150,Itumbiara,GO,eligible_phase1_proxy,82.39582824707031,19.0,7.0,48.0,1.0
431690,Santa Maria,RS,eligible_phase1_proxy,82.4764175415039,19.0,13.0,34.0,1.0
350600,Bauru,SP,eligible_phase1_proxy,82.18778991699219,19.0,7.0,49.0,1.0
355670,Vinhedo,SP,eligible_phase1_proxy,82.40913391113281,20.0,14.0,31.0,1.0
430510,Caxias do Sul,RS,eligible_phase1_proxy,81.89476013183594,22.0,11.0,48.0,1.0
350160,Americana,SP,eligible_phase1_proxy,81.79541015625,22.0,10.0,52.04999923706055,1.0
353130,Monte Alto,SP,eligible_phase1_proxy,81.22880554199219,27.0,9.0,70.0,1.0
352530,Jaú,SP,eligible_phase1_proxy,81.10147094726562,28.0,22.0,42.0,1.0
351040,Capivari,SP,eligible_phase1_proxy,80.9640884399414,29.0,20.0,49.0,1.0
421190,Palhoça,SC,eligible_phase1_proxy,80.99505615234375,29.0,23.0,41.0,1.0
354520,Salto,SP,eligible_phase1_proxy,80.97480773925781,29.0,22.0,46.0,1.0
354980,São José do Rio Preto,SP,eligible_phase1_proxy,80.79569244384766,29.0,16.0,58.04999923706055,1.0
320130,Cariacica,ES,eligible_phase1_proxy,81.10037994384766,29.0,20.0,40.0,1.0
350280,Araçatuba,SP,eligible_phase1_proxy,80.48258972167969,31.0,10.0,76.05000305175781,1.0
330580,Teresópolis,RJ,eligible_phase1_proxy,80.58686828613281,33.0,26.0,46.0,1.0
355170,Sertãozinho,SP,eligible_phase1_proxy,80.18153381347656,34.0,19.0,70.0,1.0
354580,Santa Bárbara d'Oeste,SP,eligible_phase1_proxy,79.94564819335938,36.0,23.0,74.0,1.0
520450,Caldas Novas,GO,eligible_phase1_proxy,79.98682403564453,36.0,28.0,53.04999923706055,1.0
520140,Aparecida de Goiânia,GO,eligible_phase1_proxy,79.88007354736328,36.0,20.0,74.05000305175781,1.0
320520,Vila Velha,ES,eligible_phase1_proxy,80.13044738769531,36.0,15.0,75.05000305175781,1.0
420140,Araranguá,SC,eligible_phase1_proxy,79.33543395996094,39.0,15.0,92.0,1.0
520025,Águas Lindas de Goiás,GO,eligible_phase1_proxy,79.54737091064453,39.0,31.0,68.05000305175781,1.0
353390,Olímpia,SP,eligible_phase1_proxy,79.29520416259766,40.0,9.0,113.0,1.0
530010,Brasília,DF,eligible_phase1_proxy,79.28398132324219,41.0,17.950000762939453,83.0,1.0
355240,Sumaré,SP,eligible_phase1_proxy,79.15257263183594,41.0,29.0,82.0,1.0
240810,Natal,RN,eligible_phase1_proxy,79.33682250976562,42.0,25.0,71.0,1.0
310560,Barbacena,MG,eligible_phase1_proxy,78.4324951171875,48.0,35.0,76.0,1.0
311860,Contagem,MG,eligible_phase1_proxy,78.56509399414062,48.0,31.0,84.0,1.0
354780,Santo André,SP,eligible_phase1_proxy,78.18810272216797,48.5,19.0,133.0500030517578,1.0
350320,Araraquara,SP,eligible_phase1_proxy,78.05561828613281,50.0,42.0,91.0,1.0
352270,Itápolis,SP,eligible_phase1_proxy,77.94166564941406,51.0,26.0,115.0,1.0
353870,Piracicaba,SP,eligible_phase1_proxy,77.92544555664062,52.0,37.0,109.0,1.0
312710,Frutal,MG,eligible_phase1_proxy,77.80284118652344,52.0,24.0,123.0,1.0
431870,São Leopoldo,RS,eligible_phase1_proxy,78.03260803222656,52.0,45.0,82.05000305175781,1.0
350950,Campinas,SP,eligible_phase1_proxy,77.849365234375,53.0,32.0,116.0,1.0
352230,Itapetininga,SP,eligible_phase1_proxy,77.94298553466797,54.0,40.0,88.0,1.0
354390,Rio Claro,SP,eligible_phase1_proxy,77.75761413574219,54.0,25.0,128.0500030517578,1.0
354340,Ribeirão Preto,SP,eligible_phase1_proxy,77.40064239501953,56.0,20.0,155.0500030517578,1.0
430310,Cachoeirinha,RS,eligible_phase1_proxy,77.50680541992188,58.0,42.0,92.0,1.0
313820,Lavras,MG,eligible_phase1_proxy,77.27024841308594,59.0,52.0,78.0,1.0
354630,Santa Cruz das Palmeiras,SP,eligible_phase1_proxy,77.06378173828125,60.0,19.0,156.0,1.0
520110,Anápolis,GO,eligible_phase1_proxy,76.84774780273438,63.0,21.0,161.14999389648438,1.0
320500,Serra,ES,eligible_phase1_proxy,76.765625,63.0,40.0,139.0,1.0
430463,Capão da Canoa,RS,eligible_phase1_proxy,76.6329345703125,63.0,40.0,122.0,1.0
314790,Passos,MG,eligible_phase1_proxy,76.83609008789062,64.0,25.950000762939453,152.0,1.0
353930,Pirassununga,SP,eligible_phase1_proxy,76.56817626953125,64.0,45.95000076293945,114.0,1.0
315460,Ribeirão das Neves,MG,eligible_phase1_proxy,76.44790649414062,67.0,42.95000076293945,148.10000610351562,1.0
520800,Formosa,GO,eligible_phase1_proxy,76.4635009765625,68.0,49.0,108.05000305175781,1.0
354880,São Caetano do Sul,SP,eligible_phase1_proxy,76.400390625,70.0,53.0,100.05000305175781,1.0
354990,São José dos Campos,SP,eligible_phase1_proxy,76.0789794921875,70.0,35.0,168.0500030517578,1.0
353070,Mogi Guaçu,SP,eligible_phase1_proxy,75.97500610351562,71.0,53.0,138.0,1.0
350530,Barra Bonita,SP,eligible_phase1_proxy,76.22044372558594,72.0,23.0,174.0500030517578,1.0
352590,Jundiaí,SP,eligible_phase1_proxy,76.09835815429688,73.0,50.0,141.0,1.0
412625,Sarandi,PR,eligible_phase1_proxy,76.00775146484375,73.0,56.0,128.0,1.0
