ibge_municipio,ibge_municipio_7,municipio_nome_ibge,uf_sigla,phase2_eligibility,phase2_mc_score_median,phase2_mc_rank_median,phase2_mc_rank_p05,phase2_mc_rank_p95,phase2_mc_probability_top_decile
520870,5208707,Goiânia,GO,eligible_phase2_geodesic_proxy,89.74495697021484,1.0,1.0,1.0,1.0
410690,4106902,Curitiba,PR,eligible_phase2_geodesic_proxy,86.92782592773438,3.0,2.0,6.0,1.0
352690,3526902,Limeira,SP,eligible_phase2_geodesic_proxy,86.92387390136719,3.0,2.0,6.0,1.0
317010,3170107,Uberaba,MG,eligible_phase2_geodesic_proxy,86.72428131103516,4.0,2.0,9.0,1.0
350600,3506003,Bauru,SP,eligible_phase2_geodesic_proxy,86.54331970214844,5.0,2.0,14.0,1.0
354980,3549805,São José do Rio Preto,SP,eligible_phase2_geodesic_proxy,86.15452575683594,6.0,2.0,16.0,1.0
350160,3501608,Americana,SP,eligible_phase2_geodesic_proxy,85.88600158691406,7.0,5.0,18.0,1.0
430510,4305108,Caxias do Sul,RS,eligible_phase2_geodesic_proxy,85.87277221679688,8.0,6.0,17.0,1.0
411370,4113700,Londrina,PR,eligible_phase2_geodesic_proxy,85.20321655273438,10.0,7.0,14.0,1.0
330580,3305802,Teresópolis,RJ,eligible_phase2_geodesic_proxy,85.17138671875,10.0,7.0,18.0,1.0
353030,3530300,Mirassol,SP,eligible_phase2_geodesic_proxy,84.73179626464844,12.0,10.0,16.0,1.0
354140,3541406,Presidente Prudente,SP,eligible_phase2_geodesic_proxy,84.51439666748047,13.0,6.0,24.0,1.0
355170,3551702,Sertãozinho,SP,eligible_phase2_geodesic_proxy,84.36473083496094,14.0,9.0,29.0,1.0
317020,3170206,Uberlândia,MG,eligible_phase2_geodesic_proxy,84.24522399902344,14.0,10.0,25.0,1.0
520510,5205109,Catalão,GO,eligible_phase2_geodesic_proxy,84.04325866699219,15.0,3.0,39.0,1.0
352430,3524303,Jaboticabal,SP,eligible_phase2_geodesic_proxy,83.70435333251953,16.0,3.0,43.0,1.0
354580,3545803,Santa Bárbara d'Oeste,SP,eligible_phase2_geodesic_proxy,83.049560546875,20.0,14.0,38.0,1.0
520450,5204508,Caldas Novas,GO,eligible_phase2_geodesic_proxy,83.06489562988281,20.0,16.0,33.0,1.0
352230,3522307,Itapetininga,SP,eligible_phase2_geodesic_proxy,82.88507080078125,21.0,14.0,35.0,1.0
320520,3205200,Vila Velha,ES,eligible_phase2_geodesic_proxy,82.7088623046875,22.0,11.0,46.04999923706055,1.0
530010,5300108,Brasília,DF,eligible_phase2_geodesic_proxy,82.86796569824219,22.0,17.0,36.0,1.0
521250,5212501,Luziânia,GO,eligible_phase2_geodesic_proxy,82.497802734375,23.0,16.0,41.0,1.0
354520,3545209,Salto,SP,eligible_phase2_geodesic_proxy,82.66202545166016,23.0,18.0,34.0,1.0
430310,4303103,Cachoeirinha,RS,eligible_phase2_geodesic_proxy,82.75853729248047,23.0,13.0,36.0,1.0
240810,2408102,Natal,RN,eligible_phase2_geodesic_proxy,82.50712585449219,25.0,22.0,32.0,1.0
350280,3502804,Araçatuba,SP,eligible_phase2_geodesic_proxy,82.13360595703125,26.0,8.0,60.0,1.0
355670,3556701,Vinhedo,SP,eligible_phase2_geodesic_proxy,81.9802474975586,27.0,20.0,43.0,1.0
350330,3503307,Araras,SP,eligible_phase2_geodesic_proxy,81.64759826660156,29.0,10.0,72.0,1.0
355700,3557006,Votorantim,SP,eligible_phase2_geodesic_proxy,80.99159240722656,34.0,23.0,62.0,1.0
320130,3201308,Cariacica,ES,eligible_phase2_geodesic_proxy,81.02012634277344,34.0,28.0,51.0,1.0
353390,3533908,Olímpia,SP,eligible_phase2_geodesic_proxy,80.39578247070312,35.0,13.0,83.05000305175781,1.0
350320,3503208,Araraquara,SP,eligible_phase2_geodesic_proxy,80.80021667480469,36.0,31.0,48.0,1.0
314790,3147907,Passos,MG,eligible_phase2_geodesic_proxy,80.19831085205078,37.0,16.0,85.05000305175781,1.0
352530,3525300,Jaú,SP,eligible_phase2_geodesic_proxy,80.56925964355469,38.0,27.0,62.0,1.0
355620,3556206,Valinhos,SP,eligible_phase2_geodesic_proxy,80.19499969482422,38.0,24.950000762939453,74.0,1.0
410430,4104303,Campo Mourão,PR,eligible_phase2_geodesic_proxy,80.16299438476562,39.0,25.0,66.0,1.0
431690,4316907,Santa Maria,RS,eligible_phase2_geodesic_proxy,80.5190658569336,39.0,23.0,69.05000305175781,1.0
351880,3518800,Guarulhos,SP,eligible_phase2_geodesic_proxy,80.25860595703125,39.0,10.0,113.05000305175781,1.0
352940,3529401,Mauá,SP,eligible_phase2_geodesic_proxy,79.98558044433594,41.0,28.0,75.0,1.0
312710,3127107,Frutal,MG,eligible_phase2_geodesic_proxy,79.79305267333984,41.0,26.950000762939453,75.05000305175781,1.0
520110,5201108,Anápolis,GO,eligible_phase2_geodesic_proxy,79.64679718017578,42.0,22.0,90.0,1.0
431140,4311403,Lajeado,RS,eligible_phase2_geodesic_proxy,79.5335693359375,43.0,24.0,88.0,1.0
351907,3519071,Hortolândia,SP,eligible_phase2_geodesic_proxy,79.76746368408203,43.0,27.0,81.05000305175781,1.0
315460,3154606,Ribeirão das Neves,MG,eligible_phase2_geodesic_proxy,79.55258178710938,43.0,36.0,71.0,1.0
352050,3520509,Indaiatuba,SP,eligible_phase2_geodesic_proxy,79.73748779296875,45.0,27.0,86.0,1.0
355650,3556503,Várzea Paulista,SP,eligible_phase2_geodesic_proxy,79.61695861816406,46.0,34.0,78.0,1.0
351870,3518701,Guarujá,SP,eligible_phase2_geodesic_proxy,79.55159759521484,46.5,17.0,101.0,1.0
353870,3538709,Piracicaba,SP,eligible_phase2_geodesic_proxy,78.99290466308594,50.0,38.0,74.0,1.0
355410,3554102,Taubaté,SP,eligible_phase2_geodesic_proxy,78.947265625,51.0,20.0,113.0,1.0
353080,3530805,Mogi Mirim,SP,eligible_phase2_geodesic_proxy,78.84797668457031,53.0,46.0,67.0,1.0
354880,3548807,São Caetano do Sul,SP,eligible_phase2_geodesic_proxy,78.76260375976562,53.0,43.0,73.0,1.0
330452,3304524,Rio das Ostras,RJ,eligible_phase2_geodesic_proxy,78.57819366455078,55.0,25.0,109.05000305175781,1.0
430160,4301602,Bagé,RS,eligible_phase2_geodesic_proxy,78.24838256835938,56.0,41.0,87.0,1.0
320500,3205002,Serra,ES,eligible_phase2_geodesic_proxy,78.32720184326172,56.0,42.0,89.0,1.0
410480,4104808,Cascavel,PR,eligible_phase2_geodesic_proxy,77.99232482910156,58.0,33.0,110.0,1.0
354780,3547809,Santo André,SP,eligible_phase2_geodesic_proxy,78.16392517089844,58.0,33.0,103.05000305175781,1.0
355400,3554003,Tatuí,SP,eligible_phase2_geodesic_proxy,77.91346740722656,59.0,45.0,95.0,1.0
351620,3516200,Franca,SP,eligible_phase2_geodesic_proxy,78.20772552490234,59.0,15.0,146.0500030517578,1.0
