ibge_municipio,municipio_nome_ibge,uf_sigla,scenario,opportunity_score,rank
110001,Alta Floresta D'Oeste,RO,balanced,0.0,760.0
110002,Ariquemes,RO,balanced,56.50160836379019,297.0
110003,Cabixi,RO,balanced,0.0,760.0
110004,Cacoal,RO,balanced,72.09189564962934,72.0
110005,Cerejeiras,RO,balanced,0.0,760.0
110006,Colorado do Oeste,RO,balanced,0.0,760.0
110007,Corumbiara,RO,balanced,0.0,760.0
110008,Costa Marques,RO,balanced,0.0,760.0
110009,Espigão D'Oeste,RO,balanced,37.98425129665265,526.0
110010,Guajará-Mirim,RO,balanced,0.0,760.0
110011,Jaru,RO,balanced,0.0,760.0
110012,Ji-Paraná,RO,balanced,40.86382075318767,506.0
110013,Machadinho D'Oeste,RO,balanced,36.5193394757527,537.0
110014,Nova Brasilândia D'Oeste,RO,balanced,0.0,760.0
110015,Ouro Preto do Oeste,RO,balanced,0.0,760.0
110018,Pimenta Bueno,RO,balanced,0.0,760.0
110020,Porto Velho,RO,balanced,33.84190614731214,563.0
110025,Presidente Médici,RO,balanced,0.0,760.0
110026,Rio Crespo,RO,balanced,0.0,760.0
110028,Rolim de Moura,RO,balanced,56.12273814782458,304.0
110029,Santa Luzia D'Oeste,RO,balanced,0.0,760.0
110030,Vilhena,RO,balanced,0.0,760.0
110032,São Miguel do Guaporé,RO,balanced,39.74465194707176,511.0
110033,Nova Mamoré,RO,balanced,0.0,760.0
110034,Alvorada D'Oeste,RO,balanced,0.0,760.0
110037,Alto Alegre dos Parecis,RO,balanced,0.0,760.0
110040,Alto Paraíso,RO,balanced,0.0,760.0
110045,Buritis,RO,balanced,0.0,760.0
110050,Novo Horizonte do Oeste,RO,balanced,0.0,760.0
110060,Cacaulândia,RO,balanced,0.0,760.0
110070,Campo Novo de Rondônia,RO,balanced,0.0,760.0
110080,Candeias do Jamari,RO,balanced,0.0,760.0
110090,Castanheiras,RO,balanced,0.0,760.0
110092,Chupinguaia,RO,balanced,0.0,760.0
110094,Cujubim,RO,balanced,22.807951852762688,666.0
110100,Governador Jorge Teixeira,RO,balanced,0.0,
110110,Itapuã do Oeste,RO,balanced,0.0,760.0
110120,Ministro Andreazza,RO,balanced,0.0,760.0
110130,Mirante da Serra,RO,balanced,0.0,760.0
110140,Monte Negro,RO,balanced,0.0,760.0
110143,Nova União,RO,balanced,0.0,760.0
110145,Parecis,RO,balanced,0.0,760.0
110146,Pimenteiras do Oeste,RO,balanced,0.0,
110147,Primavera de Rondônia,RO,balanced,0.0,
110148,São Felipe D'Oeste,RO,balanced,0.0,760.0
110149,São Francisco do Guaporé,RO,balanced,0.0,760.0
110150,Seringueiras,RO,balanced,0.0,760.0
110155,Teixeirópolis,RO,balanced,0.0,
110160,Theobroma,RO,balanced,0.0,
110170,Urupá,RO,balanced,0.0,760.0
110175,Vale do Anari,RO,balanced,0.0,760.0
110180,Vale do Paraíso,RO,balanced,0.0,760.0
120001,Acrelândia,AC,balanced,0.0,
120005,Assis Brasil,AC,balanced,0.0,
120010,Brasiléia,AC,balanced,0.0,760.0
120013,Bujari,AC,balanced,0.0,
120017,Capixaba,AC,balanced,0.0,
120020,Cruzeiro do Sul,AC,balanced,0.0,760.0
120025,Epitaciolândia,AC,balanced,0.0,760.0
120030,Feijó,AC,balanced,0.07349487529800361,
120032,Jordão,AC,balanced,0.047956385261737816,
120033,Mâncio Lima,AC,balanced,0.0,
120034,Manoel Urbano,AC,balanced,0.0,
120035,Marechal Thaumaturgo,AC,balanced,0.0,
120038,Plácido de Castro,AC,balanced,0.0,760.0
120039,Porto Walter,AC,balanced,0.0,
120040,Rio Branco,AC,balanced,21.107288153908268,686.0
120042,Rodrigues Alves,AC,balanced,0.0,760.0
120043,Santa Rosa do Purus,AC,balanced,0.0,
120045,Senador Guiomard,AC,balanced,0.0,760.0
120050,Sena Madureira,AC,balanced,0.0,760.0
120060,Tarauacá,AC,balanced,9.1780589315206,753.0
120070,Xapuri,AC,balanced,0.0,
120080,Porto Acre,AC,balanced,4.917179490277569,759.0
130002,Alvarães,AM,balanced,0.0,
130006,Amaturá,AM,balanced,0.0,
130008,Anamã,AM,balanced,0.0,
130010,Anori,AM,balanced,0.0,
130014,Apuí,AM,balanced,0.0,
130020,Atalaia do Norte,AM,balanced,0.0,
130030,Autazes,AM,balanced,0.0,
130040,Barcelos,AM,balanced,0.0,
130050,Barreirinha,AM,balanced,0.0,
130060,Benjamin Constant,AM,balanced,0.0,
130063,BERURI,AM,balanced,0.0,
130068,Boa Vista do Ramos,AM,balanced,24.620720813203064,644.0
130070,Boca do Acre,AM,balanced,34.1822402317201,559.0
130080,Borba,AM,balanced,0.05331257473194529,
130083,Caapiranga,AM,balanced,0.0,
130090,Canutama,AM,balanced,0.0,
130100,Carauari,AM,balanced,0.07052192642713996,
130110,Careiro,AM,balanced,0.0,
130115,CAREIRO DA VARZEA,AM,balanced,0.0,
130120,Coari,AM,balanced,0.0,
130130,CODAJAS,AM,balanced,0.0,
130140,Eirunepé,AM,balanced,0.0,760.0
130150,Envira,AM,balanced,0.0,760.0
130160,Fonte Boa,AM,balanced,0.0,760.0
130165,Guajará,AM,balanced,0.0,
130170,Humaitá,AM,balanced,0.0,760.0
130180,Ipixuna,AM,balanced,0.0,
130185,Iranduba,AM,balanced,0.0,760.0
130190,Itacoatiara,AM,balanced,7.4216198626543,756.0
130195,Itamarati,AM,balanced,0.02755160221636265,
130200,Itapiranga,AM,balanced,0.0,
130210,Japurá,AM,balanced,0.0,
130220,Juruá,AM,balanced,0.0,760.0
130230,Jutaí,AM,balanced,0.0,760.0
130240,Lábrea,AM,balanced,0.0,760.0
130250,Manacapuru,AM,balanced,9.87836102844288,750.0
130255,Manaquiri,AM,balanced,0.0,
130260,Manaus,AM,balanced,25.85469575311893,638.0
130270,Manicoré,AM,balanced,0.0,760.0
130280,Maraã,AM,balanced,0.0,
130290,Maués,AM,balanced,0.0,760.0
130300,Nhamundá,AM,balanced,0.0,
130310,Nova Olinda do Norte,AM,balanced,0.0,
130320,Novo Airão,AM,balanced,0.0,
130330,Novo Aripuanã,AM,balanced,0.04978534017374616,
130340,Parintins,AM,balanced,0.0,
130350,Pauini,AM,balanced,0.06935595865390129,
130353,Presidente Figueiredo,AM,balanced,0.0,760.0
130356,Rio Preto da Eva,AM,balanced,0.0,760.0
130360,Santa Isabel do Rio Negro,AM,balanced,0.0,
130370,Santo Antônio do Içá,AM,balanced,0.0,
130380,São Gabriel da Cachoeira,AM,balanced,15.186432053028415,731.0
130390,São Paulo de Olivença,AM,balanced,0.0,760.0
130395,São Sebastião do Uatumã,AM,balanced,0.0,
130400,Silves,AM,balanced,0.0,760.0
130406,Tabatinga,AM,balanced,23.697804407503178,659.0
130410,Tapauá,AM,balanced,0.0,
130420,Tefé,AM,balanced,0.07786469288195418,
130423,Tonantins,AM,balanced,0.0,
130426,Uarini,AM,balanced,0.0,
130430,Urucará,AM,balanced,0.0,
130440,Urucurituba,AM,balanced,0.0,
140002,Amajari,RR,balanced,0.0,760.0
140005,Alto Alegre,RR,balanced,0.0,760.0
140010,Boa Vista,RR,balanced,0.0,760.0
140015,Bonfim,RR,balanced,0.0,
140017,Cantá,RR,balanced,0.0,
140020,Caracaraí,RR,balanced,0.0,
140023,Caroebe,RR,balanced,0.0,760.0
140028,Iracema,RR,balanced,0.0,
140030,Mucajaí,RR,balanced,0.0,760.0
140040,Normandia,RR,balanced,0.0,
140045,Pacaraima,RR,balanced,0.0,
140047,Rorainópolis,RR,balanced,0.0,760.0
140050,São João da Baliza,RR,balanced,0.0,760.0
140060,São Luiz do Anauá,RR,balanced,0.0,
140070,Uiramutã,RR,balanced,0.0,
150010,Abaetetuba,PA,balanced,15.685894408196816,728.0
150013,Abel Figueiredo,PA,balanced,0.0,760.0
150020,Acará,PA,balanced,13.090367980083156,740.0
150030,Afuá,PA,balanced,0.0,
150034,Água Azul do Norte,PA,balanced,0.0,760.0
150040,Alenquer,PA,balanced,0.09228462592691257,
150050,Almeirim,PA,balanced,0.0543996931727114,
150060,Altamira,PA,balanced,45.80117363396888,441.0
150070,Anajás,PA,balanced,0.05908599357153353,
150080,Ananindeua,PA,balanced,28.84704579875373,609.0
150085,Anapu,PA,balanced,0.0,760.0
150090,Augusto Corrêa,PA,balanced,0.0,760.0
150095,Aurora do Pará,PA,balanced,0.0,760.0
150100,Aveiro,PA,balanced,0.0,760.0
150110,Bagre,PA,balanced,0.07424953198597126,
150120,Baião,PA,balanced,21.467501604397963,680.0
150125,Bannach,PA,balanced,0.0,
150130,Barcarena,PA,balanced,13.449090568230817,738.0
150140,Belém,PA,balanced,50.74366064989273,378.0
