od_pair_id,ibge_municipio_7,municipio_nome_oficial,uf_sigla_oficial,phase2_spatial_target_rank,origin_method,origin_latitude,origin_longitude,destination_type,destination_id,destination_name,destination_latitude,destination_longitude,phase2_geodesic_km,routing_profile,routing_readiness_status,travel_time_minutes,network_distance_km,routing_source,routing_measured_at_utc,academic_interpretation
3301850_active_ubs_2278448,3301850,Guapimirim,RJ,1.0,official_ibge_2022_municipal_seat,-22.5301,-42.9857,active_ubs,2278448,UNIDADE DE SAUDE DA FAMILIA DE ANDORINHAS,-22.5473916,-43.0447238,6.359492799283552,driving,ready_for_network_routing,,,,,phase3_od_pair_pending_travel_time
3301850_osm_pharmacy_node_3719376432,3301850,Guapimirim,RJ,1.0,official_ibge_2022_municipal_seat,-22.5301,-42.9857,osm_pharmacy,node/3719376432,Saúde da Serra,-22.5298162,-42.9861899,0.0593940158950893,driving,ready_for_network_routing,,,,,phase3_od_pair_pending_travel_time
3502200_active_ubs_2047357,3502200,Angatuba,SP,2.0,official_ibge_2022_municipal_seat,-23.489,-48.4175,active_ubs,2047357,C S III CAMPINA DO MONTE ALEGRE CAMPINA DO MONTE ALEGRE,-23.5946957542,-48.4771567583,13.23302976551672,driving,ready_for_network_routing,,,,,phase3_od_pair_pending_travel_time
3502200_osm_pharmacy_way_1464980160,3502200,Angatuba,SP,2.0,official_ibge_2022_municipal_seat,-23.489,-48.4175,osm_pharmacy,way/1464980160,Farmácia Drogal,-23.4891947,-48.4139909,0.3585158168532879,driving,ready_for_network_routing,,,,,phase3_od_pair_pending_travel_time
4301008_active_ubs_2251337,4301008,Arroio do Meio,RS,3.0,official_ibge_2022_municipal_seat,-29.4013,-51.9448,active_ubs,2251337,UNIDADE BASICA DE SAUDE SAO CRISTOVAO,-29.4450633482,-51.9637870789,5.2021440896176685,driving,ready_for_network_routing,,,,,phase3_od_pair_pending_travel_time
4301008_osm_pharmacy_node_4293747899,4301008,Arroio do Meio,RS,3.0,official_ibge_2022_municipal_seat,-29.4013,-51.9448,osm_pharmacy,node/4293747899,Farmácia Noite e Dia,-29.4005128,-51.9453522,0.1025844243997719,driving,ready_for_network_routing,,,,,phase3_od_pair_pending_travel_time
3300258_active_ubs_2267764,3300258,Arraial do Cabo,RJ,4.0,official_ibge_2022_municipal_seat,-22.9693,-42.026,active_ubs,2267764,UNIDADE DE SAUDE DA FAMILIA MONTE ALTO,-22.9440779082,-42.1139431,9.431014782032204,driving,ready_for_network_routing,,,,,phase3_od_pair_pending_travel_time
3300258_osm_pharmacy_node_5577061224,3300258,Arraial do Cabo,RJ,4.0,official_ibge_2022_municipal_seat,-22.9693,-42.026,osm_pharmacy,node/5577061224,Legítima,-22.9726501,-42.0286095,0.4584087819977794,driving,ready_for_network_routing,,,,,phase3_od_pair_pending_travel_time
4316600_active_ubs_2246376,4316600,Sananduva,RS,5.0,official_ibge_2022_municipal_seat,-27.9512,-51.8086,active_ubs,2246376,UNIDADE BASICA DE SAUDE IBIACA,-28.0544655448,-51.8592453003,12.512925075763157,driving,ready_for_network_routing,,,,,phase3_od_pair_pending_travel_time
4316600_osm_pharmacy_node_10261531362,4316600,Sananduva,RS,5.0,official_ibge_2022_municipal_seat,-27.9512,-51.8086,osm_pharmacy,node/10261531362,São João,-27.949873,-51.809712,0.1835836770318663,driving,ready_for_network_routing,,,,,phase3_od_pair_pending_travel_time
3304607_active_ubs_2268477,3304607,Santa Maria Madalena,RJ,6.0,official_ibge_2022_municipal_seat,-21.9661,-42.0144,active_ubs,2268477,POSTO DE SAUDE DE DR LORETI,-22.0296378007,-42.0093154907,7.084511762304401,driving,ready_for_network_routing,,,,,phase3_od_pair_pending_travel_time
3304607_osm_pharmacy_way_705452339,3304607,Santa Maria Madalena,RJ,6.0,official_ibge_2022_municipal_seat,-21.9661,-42.0144,osm_pharmacy,way/705452339,Farmácia Local,-21.9547415,-42.0088101,1.388347928058955,driving,ready_for_network_routing,,,,,phase3_od_pair_pending_travel_time
