ibge_municipio,ibge_municipio_7,municipio_nome_ibge,uf_sigla,populacao_residente,telemedicine_precision_index,phase5_precision_rank,phase2_rank_balanced,phase2_need_pillar,phase2_feasibility_pillar,phase5_spatial_precision_mismatch_score,phase5_weighted_p90_ubs_km,phase5_population_share_pharmacy_le_2km,phase5_population_share_hard_ubs_easy_pharmacy,phase5_precision_status,phase5_evidence_grade
520870,5208707,Goiânia,GO,1437366.0,83.89464375248167,1.0,1.0,96.9715015667531,78.89887181704174,72.12508643619327,1.8004858980335618,0.5881202143365016,0.0,intramunicipal_population_weighted_ready,A_intramunicipal_population_weighted
317010,3170107,Uberaba,MG,337836.0,83.28140092892156,2.0,4.0,93.11418746756073,76.81161515196119,75.56165254094796,2.1272611804539605,1.0,0.0,municipal_single_origin_proxy_not_intramunicipal,B2_municipal_population_proxy
410690,4106902,Curitiba,PR,1773718.0,82.91492162018943,3.0,2.0,93.9641751676958,73.94455576577295,75.3694722920272,1.7445607709367053,1.0,0.0,municipal_single_origin_proxy_not_intramunicipal,B2_municipal_population_proxy
520510,5205109,Catalão,GO,114427.0,82.58995287000242,4.0,15.0,91.89160200301134,83.35929094491549,71.62013417300614,1.3862505734483703,0.1983273178533038,0.0,intramunicipal_population_weighted_ready,A_intramunicipal_population_weighted
352690,3526902,Limeira,SP,291869.0,82.01570361502786,5.0,3.0,94.3734432240404,72.48598368445084,73.48222166249111,0.916744078766233,1.0,0.0,municipal_single_origin_proxy_not_intramunicipal,B2_municipal_population_proxy
350160,3501608,Americana,SP,237240.0,81.56626123679183,6.0,7.0,94.7510478278482,68.04473034130739,74.61485110950443,1.1919589253120957,1.0,0.0,municipal_single_origin_proxy_not_intramunicipal,B2_municipal_population_proxy
411370,4113700,Londrina,PR,555965.0,81.49595728282402,7.0,9.0,91.92676243496032,75.54213660296195,72.89745508951744,0.8353671196332937,1.0,0.0,municipal_single_origin_proxy_not_intramunicipal,B2_municipal_population_proxy
350600,3506003,Bauru,SP,379146.0,81.45892505243239,8.0,5.0,95.83843413056246,67.8825366372441,73.35200343608544,0.8919635391664683,1.0,0.0,municipal_single_origin_proxy_not_intramunicipal,B2_municipal_population_proxy
521250,5212501,Luziânia,GO,209129.0,80.89096744619224,9.0,23.0,91.163923868605,75.51287202790591,72.14656357311004,1.967903912580012,0.3541354857528128,0.0,intramunicipal_population_weighted_ready,A_intramunicipal_population_weighted
430510,4305108,Caxias do Sul,RS,463501.0,80.55973784646982,10.0,8.0,94.23509853248169,68.74735904309117,72.09705338525906,0.7531565903746147,1.0,0.0,municipal_single_origin_proxy_not_intramunicipal,B2_municipal_population_proxy
354980,3549805,São José do Rio Preto,SP,480393.0,80.51383586791275,11.0,6.0,92.32224233998308,68.38058058546191,74.12912521784634,1.0549219080799124,1.0,0.0,municipal_single_origin_proxy_not_intramunicipal,B2_municipal_population_proxy
317020,3170206,Uberlândia,MG,713224.0,80.16900290579645,12.0,13.0,93.48721325083092,73.11635398628532,69.3494605081124,0.5845010904843847,1.0,0.0,municipal_single_origin_proxy_not_intramunicipal,B2_municipal_population_proxy
530010,5300108,Brasília,DF,2817381.0,80.06051554680397,13.0,20.0,90.55342071292888,67.16786914970346,75.54841791027694,2.056952913986381,1.0,0.0,municipal_single_origin_proxy_not_intramunicipal,B2_municipal_population_proxy
354580,3545803,Santa Bárbara d'Oeste,SP,183347.0,80.01914667894474,14.0,18.0,92.56222086358552,66.50494313027198,73.75544743821129,0.9593678539435434,1.0,0.0,municipal_single_origin_proxy_not_intramunicipal,B2_municipal_population_proxy
355170,3551702,Sertãozinho,SP,126887.0,80.0019710035148,15.0,14.0,93.80168258422512,65.97292653097323,72.79366451299897,0.8180885397275987,1.0,0.0,municipal_single_origin_proxy_not_intramunicipal,B2_municipal_population_proxy
330580,3305802,Teresópolis,RJ,165123.0,79.68094074531636,16.0,10.0,89.40195460381251,70.74815837240726,73.55064442210626,0.9308746268808932,1.0,0.0,municipal_single_origin_proxy_not_intramunicipal,B2_municipal_population_proxy
352430,3524303,Jaboticabal,SP,71821.0,79.524553698933,17.0,16.0,82.85785036132299,85.51278302041503,72.36970673459501,0.7771027511799367,1.0,0.0,municipal_single_origin_proxy_not_intramunicipal,B2_municipal_population_proxy
520140,5201405,Aparecida de Goiânia,GO,527796.0,79.1519295926276,18.0,282.0,92.1875981165693,66.69551351862803,71.75089248204365,1.474085098321318,0.3584794125002842,0.0,intramunicipal_population_weighted_ready,A_intramunicipal_population_weighted
354140,3541406,Presidente Prudente,SP,225668.0,79.07357773852785,19.0,12.0,90.09193426128346,79.55538320929844,66.63192001935393,0.4866592516701267,1.0,0.0,municipal_single_origin_proxy_not_intramunicipal,B2_municipal_population_proxy
240810,2408102,Natal,RN,751300.0,79.00102194054026,20.0,25.0,86.90516316774769,70.68171501414228,74.47358094570691,1.1489493835149525,1.0,0.0,municipal_single_origin_proxy_not_intramunicipal,B2_municipal_population_proxy
354520,3545209,Salto,SP,134319.0,78.9276220967565,21.0,22.0,90.62388681227802,70.34860640987206,70.57077519319715,0.6482236002201259,1.0,0.0,municipal_single_origin_proxy_not_intramunicipal,B2_municipal_population_proxy
353030,3530300,Mirassol,SP,63337.0,78.84508902082553,22.0,11.0,89.1918717207288,75.77046775984768,68.8327440617688,0.5635649543668908,1.0,0.0,municipal_single_origin_proxy_not_intramunicipal,B2_municipal_population_proxy
430310,4303103,Cachoeirinha,RS,136258.0,78.74625880420153,23.0,24.0,86.97121899534378,67.2885876148004,75.81916377662759,2.995641226921528,1.0,0.0,municipal_single_origin_proxy_not_intramunicipal,B2_municipal_population_proxy
521150,5211503,Itumbiara,GO,107970.0,78.6767645772407,24.0,177.0,82.34924437026943,82.6919163777775,72.11409370704295,1.947211325926072,0.2226914883764008,0.0,intramunicipal_population_weighted_ready,A_intramunicipal_population_weighted
520025,5200258,Águas Lindas de Goiás,GO,225693.0,78.64998687293406,25.0,94.0,90.432315558938,67.75096621008439,71.57661886280404,1.3533424538975865,0.3740390707731298,0.0,intramunicipal_population_weighted_ready,A_intramunicipal_population_weighted
320130,3201308,Cariacica,ES,353491.0,78.17604085299581,26.0,30.0,88.53152321935745,72.68537734111773,69.45224040293706,0.5885621064553601,1.0,0.0,municipal_single_origin_proxy_not_intramunicipal,B2_municipal_population_proxy
350280,3502804,Araçatuba,SP,200124.0,78.0991629613382,27.0,26.0,78.17288057585269,83.67581339068839,74.98998274440493,1.4236623882978592,1.0,0.0,municipal_single_origin_proxy_not_intramunicipal,B2_municipal_population_proxy
520450,5204508,Caldas Novas,GO,98622.0,78.05969344171213,28.0,17.0,84.72723985948997,74.5675033013333,72.1138527298495,1.8978965169683817,0.4732311249011376,0.0,intramunicipal_population_weighted_ready,A_intramunicipal_population_weighted
352230,3522307,Itapetininga,SP,157790.0,77.75045656569999,29.0,21.0,88.12824230031482,66.83222672757736,72.16008516404335,0.7586345692941929,1.0,0.0,municipal_single_origin_proxy_not_intramunicipal,B2_municipal_population_proxy
