ibge_municipio_7,municipio_nome_ibge_seat,uf_sigla_ibge_seat,seat_latitude,seat_longitude,seat_category,seat_subcategory
1100015,Alta Floresta D'Oeste,RO,-11.933,-62.0037,Cidade,Sede Municipal
1100023,Ariquemes,RO,-9.912,-63.0338,Cidade,Sede Municipal
1100031,Cabixi,RO,-13.4945,-60.5429,Cidade,Sede Municipal
1100049,Cacoal,RO,-11.4356,-61.4512,Cidade,Sede Municipal
1100056,Cerejeiras,RO,-13.1864,-60.8117,Cidade,Sede Municipal
1100064,Colorado do Oeste,RO,-13.1212,-60.5437,Cidade,Sede Municipal
1100072,Corumbiara,RO,-13.0092,-61.1279,Cidade,Sede Municipal
1100080,Costa Marques,RO,-12.4384,-64.2292,Cidade,Sede Municipal
1100098,Espigão D'Oeste,RO,-11.5347,-61.0164,Cidade,Sede Municipal
1100106,Guajará-Mirim,RO,-10.7871,-65.3401,Cidade,Sede Municipal
1100114,Jaru,RO,-10.4382,-62.4616,Cidade,Sede Municipal
1100122,Ji-Paraná,RO,-10.8768,-61.9575,Cidade,Sede Municipal
1100130,Machadinho D'Oeste,RO,-9.4657,-62.2562,Cidade,Sede Municipal
1100148,Nova Brasilândia D'Oeste,RO,-11.7198,-62.3177,Cidade,Sede Municipal
1100155,Ouro Preto do Oeste,RO,-10.7192,-62.2555,Cidade,Sede Municipal
1100189,Pimenta Bueno,RO,-11.6707,-61.1888,Cidade,Sede Municipal
1100205,Porto Velho,RO,-9.6462,-63.9599,Cidade,Sede Municipal
1100254,Presidente Médici,RO,-11.1698,-61.9041,Cidade,Sede Municipal
1100262,Rio Crespo,RO,-9.7054,-62.8983,Cidade,Sede Municipal
1100288,Rolim de Moura,RO,-11.7251,-61.5543,Cidade,Sede Municipal
1100296,Santa Luzia D'Oeste,RO,-11.9079,-61.7846,Cidade,Sede Municipal
1100304,Vilhena,RO,-12.7351,-60.1348,Cidade,Sede Municipal
1100320,São Miguel do Guaporé,RO,-11.689,-62.7152,Cidade,Sede Municipal
1100338,Nova Mamoré,RO,-10.4174,-65.3321,Cidade,Sede Municipal
1100346,Alvorada D'Oeste,RO,-11.3547,-62.2845,Cidade,Sede Municipal
