uf_sigla,region,ubs,percentage
MG,Southeast,6137,12.862053066186025
SP,Southeast,5824,12.206061114138409
BA,Northeast,4449,9.324307331181624
PE,Northeast,3012,6.312612650375152
CE,Northeast,2492,5.222785765184223
MA,Northeast,2380,4.988053820681561
RJ,Southeast,2371,4.969191432284026
PR,South,2367,4.960808148551788
RS,South,2340,4.904220983359182
SC,South,2057,4.311103659303349
PA,North,1852,3.881460368026156
PB,Northeast,1788,3.747327828310349
GO,Center-West,1611,3.3763675231588213
PI,Northeast,1276,2.6742675105838956
RN,Northeast,1135,2.378756759022509
MT,Center-West,1063,2.2278576518422266
AL,Northeast,1001,2.0979167539925387
ES,Southeast,942,1.9742633189420293
AM,North,706,1.4796495787399924
MS,Center-West,695,1.4565955484763382
SE,Northeast,592,1.2407259923712117
TO,North,458,0.9598859873412415
RO,North,341,0.7146749381732825
AC,North,284,0.5952131449888921
DF,Center-West,211,0.4422182168755502
RR,North,168,0.35209791675399255
AP,North,162,0.33952299115563567
