uf_sigla,region,ubs_records,cnes_active_proxy,recent_sia_production,active_with_recent_sia_production,sia_records,sia_quantity,sia_value,cnes_active_proxy_pct,recent_sia_production_pct,active_with_recent_sia_production_pct
DF,Center-West,211,183,0,0,0,0.0,0.0,86.7298578199052,0.0,0.0
PI,Northeast,1276,1219,30,30,1592,11211.0,83198.19000000002,95.53291536050156,2.3510971786833856,2.3510971786833856
RR,North,168,139,4,4,340,5997.0,53221.37,82.73809523809523,2.380952380952381,2.380952380952381
MS,Center-West,695,624,39,39,40339,90653.0,419083.43999999604,89.7841726618705,5.611510791366906,5.611510791366906
MA,Northeast,2380,2233,142,142,36026,116830.0,1394260.6599999971,93.82352941176471,5.966386554621849,5.966386554621849
BA,Northeast,4449,4161,291,291,42138,390456.0,2800766.5399999986,93.5266351989211,6.540795684423466,6.540795684423466
MG,Southeast,6137,5556,407,407,96853,821005.0,4316540.759999996,90.53283363206779,6.631904839498127,6.631904839498127
PE,Northeast,3012,2783,201,201,14891,55938.0,437089.30000000034,92.39707835325365,6.673306772908366,6.673306772908366
MT,Center-West,1063,982,76,76,51695,156443.0,302748.8299999997,92.38005644402634,7.149576669802446,7.149576669802446
AP,North,162,152,12,12,548,4643.0,19323.799999999974,93.82716049382715,7.4074074074074066,7.4074074074074066
PA,North,1852,1763,139,139,17654,330948.0,1493336.56,95.19438444924407,7.505399568034557,7.505399568034557
RN,Northeast,1135,1054,125,125,54859,162306.0,1782395.7600000224,92.86343612334802,11.013215859030836,11.013215859030836
CE,Northeast,2492,2337,278,278,16333,105772.0,491883.45,93.7800963081862,11.15569823434992,11.15569823434992
SE,Northeast,592,536,73,73,30269,61728.0,340536.30000000045,90.54054054054053,12.33108108108108,12.33108108108108
RO,North,341,305,47,47,78898,169696.0,149558.6999999977,89.44281524926686,13.78299120234604,13.78299120234604
RS,South,2340,2065,372,372,205338,894638.0,486645.5399999993,88.24786324786325,15.897435897435896,15.897435897435896
SP,Southeast,5824,5319,1053,1053,735969,4616930.0,8439289.00999998,91.32898351648352,18.080357142857142,18.080357142857142
PB,Northeast,1788,1672,350,350,68442,104434.0,354868.95000000024,93.51230425055928,19.57494407158837,19.57494407158837
GO,Center-West,1611,1425,342,342,101389,769699.0,1090737.87,88.45437616387338,21.22905027932961,21.22905027932961
AC,North,284,242,74,74,34941,209930.0,72921.93,85.2112676056338,26.056338028169012,26.056338028169012
ES,Southeast,942,839,261,261,95819,846230.0,5676562.759999992,89.06581740976645,27.70700636942675,27.70700636942675
TO,North,458,438,129,129,32264,391158.0,833688.9899999993,95.63318777292577,28.16593886462882,28.16593886462882
AL,Northeast,1001,946,294,294,19330,87350.0,440963.54000000027,94.5054945054945,29.37062937062937,29.37062937062937
RJ,Southeast,2371,1999,704,703,1033968,7405125.0,10014576.690000134,84.31041754533952,29.69211303247575,29.649936735554615
AM,North,706,641,224,224,18202,57128.0,198798.3500000001,90.79320113314448,31.728045325779036,31.728045325779036
PR,South,2367,2168,785,785,661298,4139145.0,1836780.4200000013,91.59273341782847,33.16434305027461,33.16434305027461
SC,South,2057,1797,693,693,711826,2619950.0,2755327.7199999946,87.36023334953816,33.68983957219251,33.68983957219251
